day,baseline,maximin
1,0.0,0.0
2,0.003,0.022
3,0.022,0.12
4,0.061,0.208
5,0.128,0.309
6,0.224,0.492
7,0.387,0.743
8,0.729,0.931
9,0.948,1.089
10,1.0944162436548224,1.248630887185104
11,1.1235565819861433,1.3691128148959475
12,1.2263279445727482,1.5432639649507118
13,1.3856812933025404,1.7360350492880614
14,1.6501154734411085,1.9079956188389924
15,1.8891454965357968,2.062431544359255
16,2.121879588839941,2.2884371029224906
17,2.165932452276065,2.3824650571791612
18,2.279001468428781,2.533672172808132
19,2.4419970631424377,2.735705209656925
20,2.659324522760646,2.8958068614993646
21,2.90279823269514,3.0559796437659035
22,3.130841121495327,3.3450920245398774
23,3.1813084112149532,3.4447852760736195
24,3.308411214953271,3.5904907975460123
25,3.4691588785046727,3.7561349693251533
26,3.6766355140186917,3.901840490797546
27,3.8512241054613936,4.066978193146418
28,4.12280701754386,4.374291115311909
29,4.180451127819549,4.487712665406427
30,4.323308270676692,4.655954631379962
31,4.476190476190476,4.793950850661625
32,4.679197994987469,4.918714555765596
33,4.875634517766497,5.108695652173913
34,5.115511551155116,5.41527446300716
35,5.1683168316831685,5.591885441527446
36,5.31023102310231,5.730310262529833
37,5.537953795379538,5.885441527446301
38,5.712871287128713,6.028639618138425
39,5.899328859060403,6.179551122194514
40,6.129166666666666,6.466666666666667
41,6.183333333333334,6.58840579710145
42,6.325,6.742028985507246
43,6.504166666666666,6.907246376811594
44,6.708333333333333,7.060869565217391
45,6.914893617021277,7.2192192192192195
46,7.080402010050252,7.472602739726027
47,7.1457286432160805,7.584192439862543
48,7.296482412060302,7.7353951890034365
49,7.457286432160804,7.88659793814433
50,7.63819095477387,8.037800687285223
51,7.811224489795919,8.20357142857143
52,8.095238095238095,8.471311475409836
53,8.197278911564625,8.614754098360656
54,8.319727891156463,8.770491803278688
55,8.462585034013605,8.934426229508198
56,8.680272108843537,9.077868852459016
57,8.819444444444445,9.260683760683762
58,9.128440366972477,9.55940594059406
59,9.20183486238532,9.727722772277227
60,9.339449541284404,9.910891089108912
61,9.541284403669724,10.054455445544555
62,9.678899082568808,10.198019801980198
63,9.88785046728972,10.38659793814433
64,10.1625,10.649122807017545
65,10.25,10.760233918128655
66,10.4,10.947368421052632
67,10.5875,11.118568232662192
68,10.7125,11.228070175438596
69,10.8625,11.408536585365853
70,11.11111111111111,11.616883116883116
71,11.19047619047619,11.831168831168831
72,11.333333333333334,12.0
73,11.476190476190476,12.155844155844155
74,11.698412698412698,12.2987012987013
75,11.836065573770492,12.468531468531468
76,12.083333333333334,12.73134328358209
77,12.166666666666666,12.865671641791044
78,12.333333333333334,13.007462686567164
79,12.520833333333334,13.17910447761194
80,12.770833333333334,13.32089552238806
81,12.833333333333334,13.492307692307692
82,13.108108108108109,13.672
83,13.18918918918919,13.872
84,13.378378378378379,14.016
85,13.567567567567568,14.176
86,13.702702702702704,14.312
87,13.805555555555555,14.46218487394958
88,14.071428571428571,14.756756756756756
89,14.107142857142858,14.882882882882884
90,14.178571428571429,15.027027027027026
91,14.357142857142858,15.135135135135135
92,14.535714285714286,15.306306306306306
93,14.88888888888889,15.485714285714286
94,15.136363636363637,15.711340206185566
