day,baseline,maximin
1,7.45045045045045,7.396396396396397
2,7.627000000000001,7.735000000000001
3,7.965,8.361
4,8.411,8.717
5,8.749,8.941
6,8.733000000000002,8.925
7,8.465000000000002,8.819
8,8.101000000000003,8.875
9,8.376,8.979
10,9.014254385964913,9.24020618556701
11,8.902412280701755,9.229896907216494
12,8.869517543859649,9.238144329896906
13,8.797149122807017,9.357731958762887
14,8.645833333333332,9.458762886597938
15,9.025219298245615,9.616494845360823
16,9.79254658385093,9.676220806794053
17,9.768944099378881,9.714437367303608
18,9.596273291925465,9.459660297239914
19,9.520496894409936,9.61252653927813
20,9.444720496894409,9.69532908704883
21,9.7787610619469,9.589989350372734
22,10.58686131386861,10.077625570776254
23,10.348905109489047,10.007999999999997
24,10.189781021897806,9.974857142857141
25,10.100729927007295,9.93485714285714
26,10.04671532846715,9.867428571428567
27,10.37747336377473,10.043224299065416
28,11.35587188612099,10.63278271918678
29,11.241992882562272,10.524777636594658
30,10.999999999999993,10.523506988564163
31,10.822064056939496,10.423125794155014
32,10.569395017793587,10.383735705209652
33,10.988679245283013,10.682119205298008
34,11.755789473684203,11.239316239316235
35,11.336842105263148,11.025641025641018
36,11.246315789473675,10.95726495726495
37,10.928421052631569,10.829059829059823
38,10.597894736842095,10.709401709401703
39,11.316397228637403,11.164933135215447
40,11.903553299492375,11.693548387096767
41,11.558375634517756,11.467741935483863
42,11.350253807106588,11.435483870967733
43,11.096446700507602,11.325806451612895
44,10.81218274111674,11.129032258064507
45,11.994350282485863,11.531772575250827
46,12.302114803625363,12.144404332129954
47,11.936555891238656,12.11913357400721
48,11.570996978851948,11.99638989169674
49,11.205438066465241,11.906137184115511
50,10.767371601208445,11.891696750902515
51,11.816608996539777,12.452290076335865
52,12.033726812816187,13.319672131147527
53,12.08600337268128,13.094262295081954
54,11.976391231028666,12.90573770491802
55,11.967959527824618,12.754098360655723
56,11.848229342327148,12.79918032786884
57,12.400346620450604,13.656387665198222
58,13.143911439114389,13.907621247113147
59,13.217712177121768,13.8637413394919
60,13.225092250922504,13.806004618937628
61,13.265682656826563,13.623556581986126
62,13.295202952029515,13.496535796766727
63,13.615530303030297,13.995180722891547
64,14.593939393939387,14.727272727272707
65,14.721212121212114,14.636363636363615
66,14.67878787878787,14.636363636363615
67,14.612121212121204,14.424242424242404
68,14.642424242424235,14.378787878787858
69,15.185031185031178,14.989445910290216
70,15.98687089715535,15.340659340659318
71,16.23413566739605,14.917582417582395
72,16.350109409190363,14.791208791208767
73,16.282275711159727,14.813186813186789
74,16.083150984682703,14.587912087912063
75,16.741496598639447,14.887608069164239
76,17.6142857142857,15.428571428571402
77,17.771428571428558,15.178571428571402
78,17.87142857142856,14.85714285714283
79,17.928571428571416,14.73214285714283
80,17.84285714285713,14.660714285714258
81,18.233576642335752,15.271874999999971
82,19.199999999999985,15.403846153846125
83,19.399999999999984,14.980769230769198
84,19.461538461538446,14.69230769230766
85,19.35384615384614,14.769230769230736
86,19.323076923076908,14.538461538461506
87,20.026595744680833,15.486486486486452
88,21.064066852367667,15.66433566433563
89,21.167130919220035,15.419580419580385
90,20.952646239554298,15.237762237762203
91,20.97214484679664,15.097902097902063
92,21.24233983286906,14.979020979020945
93,22.12499999999998,15.922222222222185
94,22.550295857988143,15.999999999999963
