day,baseline,egalitarian,maximin,utilitarian,deon_egalitarian,deon_egalitarian_2,deon_egalitarian_loss
1,0.008714898326186216,0.006268996960486328,0.006224387892145078,0.006921010949659356,0.006540244999653666,0.007763439376164749,0.008139213382180266
2,0.035468111565109206,0.02676396879743037,0.02586935097845977,0.02906402202301117,0.02985553772070637,0.030944099824303573,0.02560444308423504
3,0.06487545723741506,0.051414300916549305,0.04916353704335963,0.056676751701849604,0.05322094915019582,0.05783706193327043,0.04406247234757954
4,0.0777840385206432,0.06151388056720597,0.057835072231139595,0.06495666196331373,0.0637263179223937,0.06633125342841462,0.053492738464703926
5,0.07753584259476898,0.06490125673249536,0.05705036924197793,0.06562780194600326,0.06744566585550049,0.06578058501655071,0.0581406136666498
6,0.0802704866090782,0.0713292816965152,0.0571311206046663,0.07313546929008252,0.06715922646549832,0.06372432423248764,0.05846062442955824
7,0.08551710342068386,0.08130493576741049,0.06554922941003238,0.0846476342583351,0.07410757457025197,0.07646872376514113,0.06879846657447453
8,0.10107300407973718,0.0882819764645526,0.07180122603365069,0.09797353459454072,0.0807337764269731,0.08995812249171187,0.08290280054158039
9,0.1116439348237448,0.09321857566741687,0.07629973793177913,0.11408067779137365,0.09077107948858587,0.09098814117236476,0.0896809175537483
10,0.11540790915212096,0.09412955465587047,0.07066432449696602,0.09419566457501394,0.07605803977209757,0.07126879259220709,0.06955050033663857
11,0.11973623322535865,0.09867654043784269,0.0760424459581841,0.1009111509772449,0.08158813263525277,0.07058367768595031,0.07572826439679492
12,0.12290460225541011,0.10505449882453499,0.07800564108590868,0.10449046067938594,0.08586795252225543,0.07455437871351078,0.08243937448062266
13,0.1344518675979347,0.10997458703939023,0.08613769682000627,0.1153072548203633,0.09077842622524046,0.08911896324271207,0.09335366934156886
14,0.14396237864077666,0.11248109561418218,0.09036318772410068,0.12427899035577483,0.09168851144955492,0.1039406426037972,0.11216160892482474
15,0.1500697525094481,0.11799856053600943,0.0953588029035295,0.14037182375965607,0.10070804131466415,0.10375123277774101,0.12113170723321232
16,0.14296333002973216,0.11494638069705077,0.08289552512086629,0.11890578174110056,0.08081480594871171,0.07351458105723174,0.09650562851782363
17,0.15004893564962085,0.12264833574529677,0.08708969898653751,0.12278256462240256,0.08443580920740357,0.08093149540517963,0.1045795186773284
18,0.15278116613808246,0.12737254469212078,0.09096469765816151,0.13125677139761627,0.09231572664876175,0.08591318246824264,0.11402387041773232
19,0.16398243045387995,0.1264897959183673,0.09337915348101244,0.14529470744109418,0.09866924644787756,0.09705561613958547,0.12824246660453564
20,0.16736930860033716,0.1305563056980823,0.09477079638894659,0.15041524106610238,0.1046469316774048,0.10395799317731513,0.14430541658800444
21,0.17448441227971667,0.13700421172063937,0.09809275536408202,0.17080729831376185,0.11573661589680095,0.10123212438052454,0.15437046902805096
22,0.16876444901104537,0.12922946918221623,0.08293441838200066,0.14524040208308087,0.08920424185128861,0.06941687769488736,0.13375451263537919
23,0.17463377023901305,0.1328764320785596,0.0872351160443996,0.15448354827045896,0.09639472935052273,0.07501021937593677,0.14009046791684132
24,0.18546741487055218,0.1385226963848869,0.08566550615961432,0.15776699029126195,0.09817830246285353,0.07770985588416068,0.14376311844077994
25,0.1960983025082339,0.14394143386065283,0.08427077818951823,0.16753063147973601,0.10385051191776928,0.09136504653567745,0.1542451705222989
26,0.19799492648136696,0.14615756326393337,0.08570364276507259,0.17125355451945357,0.11252870515462532,0.09941098254515879,0.1732892064869178
27,0.20433311902616547,0.15225993093936951,0.09262785134215057,0.18627868400622183,0.11983819088105019,0.10354234068330581,0.18465503991305754
28,0.18571567294620284,0.1418397116869743,0.08099323972958916,0.16041686270819588,0.0963076512929888,0.08881715951686786,0.16466900239719706
29,0.19626168224299034,0.14505076142131967,0.07799172912897401,0.16351045788581087,0.09863322161709265,0.09577244258872653,0.16286194063719717
30,0.20517909002904133,0.14625604890058574,0.08669250645994842,0.17264678471575,0.10378692646134491,0.08821853961677895,0.16615104640582334
31,0.2149390243902436,0.14821413599396283,0.08454356846473021,0.17660125879303945,0.11373614886054773,0.09413184105144268,0.17150186143648427
32,0.22566972289094878,0.14914836054642078,0.08730281947313334,0.18322090658353307,0.12177683264579575,0.10967468535410041,0.19238418740385832
33,0.22861991322547603,0.15315959587492944,0.09476396789876418,0.19936921759910087,0.12227724729365064,0.10531661083837629,0.20915916298166737
34,0.2152925128826917,0.13989473684210485,0.06769575715764042,0.1811677160847165,0.10906063311130954,0.09753363228699552,0.1863169479090241
35,0.21603260869565166,0.13761034047919263,0.07271944922547346,0.1831293706293704,0.11538992408557602,0.09988109393579081,0.19659546061415223
36,0.22317950254719787,0.14348030508828757,0.07410256410256388,0.18317972350230383,0.12136294027565064,0.09880375529981844,0.20047276001800984
37,0.22637676798074002,0.15287619841600675,0.0750341064120057,0.1944760011360407,0.12577725576896492,0.09733231707317058,0.2064318416777433
38,0.24203043097969368,0.15827961452880923,0.07426640473448409,0.20386844070615506,0.1323588685756576,0.10981720971296682,0.22173968626485463
39,0.24394700979730288,0.163206552754531,0.07856613965169901,0.19554264924326215,0.12379181725658772,0.10247241075235292,0.22682869906261782
40,0.24590755897929673,0.1366751269035531,0.06656804733727784,0.16432953549517948,0.1134745461018154,0.10479271770125043,0.18791014639071202
41,0.24284692417739584,0.14066059225512517,0.06654835847382423,0.16050583657587536,0.1203802892340653,0.10528877352368582,0.17549019607843142
42,0.24200376293508907,0.14353351607276332,0.06866587782872369,0.171063829787234,0.12599250602194667,0.11086581951324592,0.1846604787493895
43,0.25308495491219707,0.14528207688467276,0.07273874944304182,0.1823096885813147,0.1296090626388271,0.1147249190938513,0.19389275074478673
44,0.26641338371960976,0.14437675052158072,0.07397214225631021,0.17588193845409617,0.13765464199648725,0.1280757886783992,0.20707937738213844
45,0.2920373249770346,0.14705450654778573,0.07227610338975565,0.18273733830569427,0.13453392857007596,0.13370289490009202,0.23901420494918235
46,0.275862068965517,0.1395953757225432,0.04590035307963891,0.15938166311300628,0.1303751143641354,0.09840667678300474,0.21623376623376633
