df_label,reward_mean,reward_median,reward_stdev,numerosity_mean,numerosity_median,numerosity_stdev,fitness_mean,fitness_median,fitness_stdev
baseline,0.3316666666672745,110.90000000000002,4678.218114366878,7951.0,1523.0,20471.42497917441,-3831.8079999999995,0.0,33740.4233806125
utilitarian,1990.2236363636366,284.99999999999994,3739.3032233669987,7756.381818181818,2231.0,12808.168590700681,50141.85818181818,291.6,134412.51407063878
maximin,4674.846666666668,292.95000000000016,13287.545245096897,23369.566666666666,3071.0,56680.943058900564,203927.97999999992,333.36,926472.6512369817
egalitarian,2027.7285714285717,160.79999999999995,5203.277426169649,9403.412698412698,1638.0,18923.449853959504,24148.988571428567,312.24,147645.75356912886
average,3062.2121212121224,83.85000000000001,7599.7181772435515,11439.09090909091,1994.5,19712.56795098948,45966.13590909091,0.0,228747.91411069164
majoritarian,2446.6310344827584,232.00000000000028,6331.254088880601,11373.965517241379,2538.5,22322.145740383705,74252.41344827585,114.65999999999997,248151.39285140068
optimist,3460.1072463768137,252.00000000000048,12027.331556737021,10675.855072463768,1190.0,25570.240469247794,20374.948260869594,0.0,138250.33736550514
veto,2190.279310344829,158.09999999999997,5242.665509832331,13660.724137931034,1426.5,36245.48847705199,97324.04172413795,30.929999999999954,408524.1919198688
