episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries,min_days_survived,max_days_survived,average_days_survived,total_days_survived
78,81.0,5694.0,2891.75,11567.0,1,41,22.5,90,15,200,119.5,478
79,63.0,8448.0,3360.5,13442.0,1,44,22.75,91,15,200,115.0,460
80,101.0,3954.0,1077.25,4309.0,2,35,11.0,44,21,200,67.25,269
81,116.0,3714.0,1069.75,4279.0,2,38,13.0,52,15,200,73.25,293
82,123.0,4962.0,1341.5,5366.0,2,39,11.75,47,21,200,67.25,269
83,71.0,516.0,208.0,832.0,2,10,4.25,17,9,69,30.0,120
84,47.0,6684.0,2551.75,10207.0,1,40,19.5,78,9,200,106.0,424
85,36.0,4392.0,1309.0,5236.0,0,38,13.5,54,9,200,77.75,311
86,198.0,3654.0,1087.0,4348.0,3,37,12.5,50,20,200,71.5,286
87,59.0,513.0,270.25,1081.0,1,7,4.75,19,9,50,34.25,137
88,36.0,3042.0,807.5,3230.0,0,35,9.5,38,9,200,58.25,233
89,128.0,4500.0,1601.75,6407.0,3,39,17.0,68,15,200,95.25,381
90,71.0,1518.0,564.25,2257.0,1,34,12.25,49,9,200,76.25,305
91,116.0,3636.0,1934.0,7736.0,3,37,20.75,83,15,200,117.75,471
92,77.0,6294.0,1689.75,6759.0,1,40,12.75,51,9,200,68.75,275
93,204.0,9156.0,4242.75,16971.0,3,46,24.5,98,20,200,117.75,471
94,98.0,7380.0,4068.5,16274.0,2,44,30.75,123,15,200,153.75,615
95,77.0,10266.0,3847.25,15389.0,2,47,23.5,94,9,200,113.5,454
96,65.0,1473.0,462.25,1849.0,1,15,6.25,25,9,98,43.25,173
97,68.0,7302.0,2622.25,10489.0,2,44,20.75,83,9,200,106.0,424
98,77.0,263.0,180.0,720.0,1,6,4.0,16,9,39,28.5,114
99,141.0,5676.0,2344.25,9377.0,3,43,21.0,84,27,200,113.5,454
100,174.0,4590.0,2784.0,11136.0,4,41,28.75,115,33,200,158.25,633
101,125.0,6186.0,2729.75,10919.0,3,42,28.5,114,21,200,155.25,621
102,165.0,6348.0,3537.75,14151.0,3,44,29.5,118,27,200,156.75,627
103,47.0,6324.0,1635.0,6540.0,1,38,10.5,42,9,200,58.25,233
104,134.0,5232.0,1438.75,5755.0,4,37,12.5,50,27,200,73.25,293
105,74.0,6870.0,2113.75,8455.0,2,42,16.25,65,15,200,88.0,352
106,65.0,3474.0,935.5,3742.0,1,37,10.75,43,9,200,62.75,251
107,41.0,5640.0,2165.75,8663.0,1,39,19.5,78,9,200,107.5,430
108,59.0,315.0,208.75,835.0,1,7,4.75,19,9,51,34.5,138
109,198.0,5874.0,2781.5,11126.0,4,40,21.75,87,33,200,118.0,472
