,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,reward,num_norms,count
0,1,0,0.06753376688344172,0.0,0.0,0.7000000000000001,7.40520260130065,0.05052526263131566,1.0,1999
1,1,1,0.03401700850425213,0.0,0.0,0.7000000000000001,7.2041020510255125,0.023211605802901453,1.0,1999
2,1,2,0.04352176088044022,0.0,0.0,0.7000000000000001,7.261130565282642,0.03036518259129565,1.0,1999
3,1,3,0.030515257628814407,0.0,0.0,0.7000000000000001,7.1830915457728866,0.02076038019009505,1.0,1999
4,2,0,0.223,0.0645,0.004,0.6387500000000002,7.725500000000001,0.2258,1.307,2000
5,2,1,0.102,0.033,0.004,0.6198500000000001,6.810500000000001,0.09860000000000001,1.3675,2000
6,2,2,0.129,0.0435,0.0045,0.6261500000000001,7.035500000000001,0.13145,1.341,2000
7,2,3,0.1065,0.0335,0.001,0.6201500000000001,6.8405000000000005,0.1045,1.3545,2000
8,3,0,0.288,0.2675,0.0255,0.6605500000000001,8.3335,0.38620000000000004,1.875,2000
9,3,1,0.1595,0.111,0.033,0.5666500000000001,6.623500000000001,0.17925,1.9295,2000
10,3,2,0.22,0.1935,0.0105,0.6161500000000001,7.4815,0.2703,1.8965,2000
11,3,3,0.152,0.1565,0.006,0.5939500000000002,6.851500000000001,0.19905,1.9025,2000
12,4,0,0.2595,0.515,0.0255,0.7090500000000001,8.6475,0.36555,2.8495,2000
13,4,1,0.225,0.211,0.033,0.5266500000000001,6.6165,0.20055,2.9155,2000
14,4,2,0.2265,0.3955,0.0115,0.63735,7.7325,0.32520000000000004,2.882,2000
15,4,3,0.1955,0.289,0.006,0.57345,6.9075,0.24025000000000002,2.8845,2000
16,5,0,0.255,0.7,0.0255,0.7200500000000001,8.7305,0.28085000000000004,3.637,2000
17,5,1,0.257,0.3655,0.033,0.51935,6.735500000000001,0.2585,3.662,2000
18,5,2,0.1965,0.6065,0.013,0.66395,7.8185,0.31035,3.6615,2000
19,5,3,0.201,0.451,0.006,0.5706500000000001,6.9125000000000005,0.25605,3.6455,2000
20,6,0,0.257,0.87,0.027,0.7220500000000001,8.7625,0.25865000000000005,4.03,2000
21,6,1,0.2245,0.5675,0.0345,0.5405500000000001,6.752500000000001,0.2855,4.1955,2000
22,6,2,0.202,0.7845,0.016,0.6707500000000001,7.919500000000001,0.287,4.091,2000
23,6,3,0.1935,0.639,0.007,0.58345,6.995500000000001,0.28870000000000007,4.1335,2000
24,7,0,0.276,1.059,0.034,0.73545,9.0105,0.31555,4.3465,2000
25,7,1,0.158,0.7885,0.0375,0.57315,6.679500000000001,0.2871,4.5915,2000
26,7,2,0.1945,0.963,0.0195,0.6778500000000001,7.945500000000001,0.27465000000000006,4.415,2000
