episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
1,38354.0,41180.0,39956.0,159824.0,173,174,173.5,694
2,36.0,37422.0,9505.25,38021.0,0,172,45.75,183
3,36.0,237.0,110.0,440.0,0,5,2.0,8
4,141.0,39534.0,10093.5,40374.0,3,168,45.5,182
5,116.0,41004.0,10431.5,41726.0,2,171,46.25,185
6,84.0,32736.0,8299.25,33197.0,2,173,46.0,184
7,215.0,37404.0,9640.25,38561.0,5,173,48.5,194
8,75.0,233.0,159.5,638.0,1,5,3.0,12
9,68.0,41082.0,10402.0,41608.0,2,175,46.5,186
10,69.0,4275.0,1137.5,4550.0,1,48,13.25,53
11,137.0,480.0,323.75,1295.0,3,9,6.25,25
12,36.0,39414.0,10087.25,40349.0,0,172,46.5,186
13,75.0,59106.0,21232.75,84931.0,1,174,68.25,273
14,102.0,63090.0,15912.25,63649.0,2,184,48.75,195
15,284.0,39000.0,10426.0,41704.0,6,173,52.5,210
16,59.0,53208.0,18707.0,74828.0,1,172,68.25,273
17,47.0,39426.0,10094.5,40378.0,1,172,46.25,185
18,35346.0,38886.0,37408.5,149634.0,173,174,173.25,693
19,47.0,18612.0,4784.0,19136.0,1,169,44.75,179
20,65.0,37674.0,9657.5,38630.0,1,173,48.25,193
21,36.0,36390.0,9552.5,38210.0,0,173,47.75,191
22,81.0,39300.0,11200.25,44801.0,1,173,53.75,215
23,57.0,39702.0,10094.75,40379.0,1,170,45.0,180
24,125.0,41370.0,11822.0,47288.0,3,172,55.0,220
25,63.0,82920.0,20821.5,83286.0,1,191,49.25,197
26,213.0,83166.0,20955.0,83820.0,4,186,50.0,200
27,636.0,40212.0,11763.75,47055.0,10,173,60.0,240
28,36.0,40314.0,10165.25,40661.0,0,170,43.75,175
29,36.0,58512.0,19853.0,79412.0,0,175,64.0,256
30,36.0,40908.0,11937.0,47748.0,0,169,54.75,219
31,36.0,54978.0,13794.75,55179.0,0,187,47.5,190
32,69.0,41394.0,11478.75,45915.0,1,172,53.0,212
33,53.0,816.0,248.75,995.0,1,13,4.0,16
34,36.0,42348.0,10637.75,42551.0,0,170,43.25,173
35,102.0,46140.0,12873.75,51495.0,2,175,54.75,219
36,39798.0,42858.0,41575.5,166302.0,174,175,174.25,697
37,42.0,40140.0,12025.0,48100.0,0,174,54.5,218
38,75.0,52044.0,18637.25,74549.0,1,174,67.5,270
39,221.0,41592.0,10603.0,42412.0,5,174,48.0,192
40,132.0,41346.0,11958.75,47835.0,2,172,54.25,217
41,37152.0,40458.0,39156.0,156624.0,172,173,172.5,690
42,123.0,4170.0,1167.75,4671.0,3,57,17.0,68
43,102.0,46584.0,14438.0,57752.0,2,172,58.25,233
44,36.0,38910.0,9936.0,39744.0,0,172,46.0,184
45,42.0,51630.0,17196.5,68786.0,0,171,63.0,252
46,81.0,52770.0,19669.25,78677.0,1,171,67.5,270
47,47.0,47898.0,16252.5,65010.0,1,173,61.75,247
48,65.0,39174.0,10543.25,42173.0,1,170,52.0,208
49,81.0,54876.0,19643.0,78572.0,1,171,65.75,263
50,36.0,39726.0,10017.5,40070.0,0,174,45.0,180
51,132.0,38016.0,9727.25,38909.0,2,175,48.25,193
52,780.0,77010.0,29924.0,119696.0,12,172,81.5,326
53,69.0,57246.0,14450.25,57801.0,1,187,49.5,198
54,183.0,34632.0,9180.0,36720.0,3,173,49.75,199
55,63.0,34458.0,8993.75,35975.0,1,173,47.5,190
56,87.0,75678.0,19008.75,76035.0,1,188,48.25,193
57,114.0,39810.0,10121.0,40484.0,2,172,46.0,184
58,36.0,39456.0,10020.0,40080.0,0,171,45.25,181
59,33804.0,36882.0,35517.0,142068.0,173,174,173.75,695
60,120.0,34992.0,9059.75,36239.0,2,170,47.0,188
61,120.0,36300.0,9372.75,37491.0,2,171,47.0,188
62,87.0,711.0,255.25,1021.0,1,17,5.75,23
63,33360.0,36528.0,35178.0,140712.0,174,175,174.25,697
64,36.0,104346.0,42237.25,168949.0,0,178,86.5,346
65,36.0,1128.0,371.0,1484.0,0,16,5.75,23
66,36.0,39906.0,10099.5,40398.0,0,172,45.5,182
67,36.0,26730.0,6732.0,26928.0,0,172,43.5,174
68,47.0,336.0,197.5,790.0,1,6,3.5,14
69,81.0,300.0,171.75,687.0,1,6,3.25,13
70,63.0,40962.0,10872.5,43490.0,1,170,49.75,199
71,39600.0,42390.0,41037.0,164148.0,174,175,174.75,699
72,108.0,49776.0,16679.0,66716.0,2,173,62.5,250
73,69.0,39012.0,10057.5,40230.0,1,175,49.0,196
74,87.0,42012.0,12502.5,50010.0,1,173,55.75,223
75,63.0,39690.0,10109.75,40439.0,1,172,46.25,185
76,81.0,40566.0,10222.25,40889.0,1,175,45.5,182
77,36.0,35844.0,10308.75,41235.0,0,174,54.25,217
78,41964.0,44982.0,43723.5,174894.0,175,175,175.0,700
79,132.0,52728.0,19223.0,76892.0,2,172,69.0,276
80,279.0,43242.0,11355.0,45420.0,5,173,51.0,204
81,80.0,41598.0,10474.25,41897.0,1,171,44.0,176
82,36.0,39006.0,10281.0,41124.0,0,172,49.0,196
83,81.0,38202.0,9774.75,39099.0,1,169,45.5,182
84,36.0,129.0,90.0,360.0,0,3,1.5,6
85,75.0,792.0,269.5,1078.0,1,15,5.25,21
86,53.0,37728.0,9544.25,38177.0,1,171,44.5,178
87,42.0,81606.0,20604.0,82416.0,0,188,50.75,203
88,122.0,40728.0,10485.25,41941.0,2,174,48.0,192
89,135.0,44004.0,12287.25,49149.0,3,173,54.25,217
90,47.0,41208.0,11782.0,47128.0,1,171,53.25,213
