episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
1,71.0,67400.0,17377.75,69511.0,1,182,53.5,214
2,62.0,57480.0,14471.75,57887.0,2,181,47.5,190
3,77.0,13046.0,3339.75,13359.0,1,82,21.75,87
4,71.0,6557.0,1871.25,7485.0,1,57,19.25,77
5,87.0,11969.0,3131.0,12524.0,1,67,19.5,78
6,59.0,876.0,463.75,1855.0,1,15,7.25,29
7,57.0,88398.0,42208.5,168834.0,1,184,93.25,373
8,36.0,95436.0,39996.0,159984.0,0,183,91.0,364
9,74.0,70830.0,18216.25,72865.0,1,184,53.25,213
10,165.0,50712.0,23532.75,94131.0,3,176,93.25,373
11,185.0,88752.0,48695.0,194780.0,4,184,130.0,520
12,135.0,90288.0,37233.0,148932.0,3,183,92.0,368
13,81.0,81810.0,40284.0,161136.0,1,183,92.0,368
14,36.0,150684.0,37760.5,151042.0,0,201,52.0,208
15,59.0,81348.0,39822.5,159290.0,1,181,91.75,367
16,86.0,1298.0,492.25,1969.0,2,22,9.25,37
17,278.0,79050.0,33990.5,135962.0,6,182,131.5,526
18,41.0,79254.0,54413.75,217655.0,1,192,139.25,557
19,152.0,65826.0,16609.75,66439.0,4,181,49.0,196
20,135.0,89352.0,36348.0,145392.0,3,183,92.0,368
21,204.0,76392.0,52966.5,211866.0,4,188,137.75,551
22,135.0,45006.0,20248.5,80994.0,3,179,90.25,361
23,63.0,65286.0,16433.0,65732.0,1,182,48.0,192
24,126.0,79878.0,20264.25,81057.0,2,181,50.0,200
25,123.0,82410.0,40729.5,162918.0,3,182,93.5,374
26,122.0,79716.0,29047.25,116189.0,4,183,91.0,364
27,36.0,119106.0,29818.5,119274.0,0,202,51.0,204
28,41.0,90306.0,36528.25,146113.0,1,184,91.5,366
29,36.0,142068.0,35550.5,142202.0,0,201,50.75,203
30,36.0,87186.0,35546.0,142184.0,0,184,91.0,364
31,41.0,116.0,79.75,319.0,1,2,1.25,5
32,74.0,93186.0,38961.25,155845.0,2,182,92.0,368
33,90.0,90834.0,37872.75,151491.0,2,183,93.25,373
34,59.0,14567.0,3713.25,14853.0,1,78,21.0,84
35,98.0,19979.0,5162.0,20648.0,2,99,28.0,112
36,102.0,78450.0,37920.75,151683.0,2,185,96.0,384
