day,baseline,egalitarian,maximin,utilitarian,all_principles,multiobjective_mp
1.0,7.168336673346693,7.024048096192384,7.096192384769539,7.192384769539078,7.096192384769539,
2.0,6.686000000000001,6.410000000000001,6.506000000000001,6.542000000000001,6.806000000000001,7.0
3.0,6.382000000000001,6.502000000000001,6.226000000000001,5.926000000000001,6.946000000000001,6.000000000000001
4.0,6.534000000000001,6.534000000000001,6.150000000000001,6.066000000000001,7.05,5.000000000000001
5.0,6.650000000000001,6.470000000000001,6.290000000000001,6.194000000000001,7.238000000000001,4.000000000000001
6.0,6.598000000000002,6.658000000000001,6.178000000000002,6.166000000000002,7.354000000000001,3.0000000000000013
7.0,6.3900000000000015,6.582000000000001,6.054000000000002,5.9940000000000015,7.410000000000001,2.0000000000000013
8.0,5.8820000000000014,6.398000000000001,5.714000000000002,5.582000000000002,7.262000000000001,1.000000000000001
9.0,5.502000000000001,6.390000000000001,5.316000000000001,5.530000000000001,7.140000000000001,6.000000000000001
10.0,5.650666666666668,6.670588235294119,5.71846846846847,5.91075514874142,7.911885245901639,5.000000000000001
11.0,5.690666666666668,6.7576470588235305,5.907657657657659,5.954233409610986,7.944672131147542,4.000000000000002
12.0,5.922666666666668,6.837471783295712,5.8130630630630655,5.901601830663617,8.075819672131148,8.999999999999998
13.0,5.850666666666669,6.636568848758466,5.894144144144146,5.711670480549201,7.875000000000001,7.999999999999999
14.0,5.906666666666669,6.693002257336344,5.880630630630633,5.576659038901604,7.686475409836066,6.999999999999999
15.0,5.610666666666668,6.618510158013545,5.506756756756758,5.199084668192222,7.745901639344262,6.000000000000001
16.0,5.976027397260276,7.04113110539846,5.964864864864867,5.850136239782019,8.551648351648351,5.000000000000001
17.0,6.003424657534249,7.196236559139786,5.921621621621624,6.01089918256131,8.58021978021978,4.000000000000001
18.0,6.1746575342465775,7.518817204301077,5.959459459459462,6.089918256130793,8.463736263736264,8.999999999999998
19.0,6.407534246575345,7.419023136246789,5.672972972972976,6.087193460490467,8.43956043956044,8.000000000000002
20.0,6.126712328767126,7.228494623655915,5.6783783783783806,5.724795640326979,8.34945054945055,6.999999999999999
21.0,5.986301369863015,7.007712082262213,5.132432432432434,5.65122615803815,8.407488986784141,5.999999999999999
22.0,6.696261682242993,7.828651685393261,6.055172413793106,5.984126984126988,9.35645933014354,5.0
23.0,6.789719626168227,8.022012578616353,6.051903114186854,5.8031746031746065,9.289473684210526,4.0
24.0,6.8271028037383195,8.022012578616353,5.965397923875435,5.850793650793654,9.26555023923445,3.0000000000000004
25.0,6.780373831775704,7.795597484276731,6.294117647058826,5.707936507936512,9.28468899521531,2.0000000000000004
26.0,6.789719626168226,7.833333333333333,6.166089965397926,5.641269841269845,9.145933014354066,1.0000000000000002
27.0,6.663551401869161,7.665615141955836,5.770833333333335,5.374603174603178,9.270983213429256,5.999999999999999
28.0,7.355828220858898,8.655688622754493,6.642201834862387,6.371647509578548,10.07751937984496,5.0
29.0,7.754601226993868,8.62453531598513,6.88073394495413,6.268199233716479,10.348837209302324,4.0
30.0,7.674846625766874,8.405204460966543,6.926605504587158,6.210727969348663,10.294573643410851,3.0000000000000004
31.0,7.779141104294482,8.609665427509293,7.055045871559636,6.314176245210732,10.17829457364341,2.0000000000000027
32.0,7.368098159509206,8.45724907063197,6.853211009174314,6.141762452107284,10.046511627906975,1.0000000000000024
33.0,7.098159509202457,8.419475655430709,6.619266055045873,5.877394636015329,10.148437499999998,2.4980018054066026e-15
34.0,8.535087719298248,8.990445859872613,7.379310344827587,6.552511415525118,10.70684931506849,5.000000000000001
35.0,8.535087719298248,9.136942675159236,6.965517241379313,6.51141552511416,10.841095890410957,4.000000000000001
36.0,8.956140350877195,9.168789808917198,7.3448275862068995,6.744292237442926,10.843835616438353,9.0
37.0,8.429824561403512,9.162420382165607,7.517241379310348,6.374429223744297,10.928767123287667,8.000000000000002
38.0,8.1140350877193,9.213375796178346,7.517241379310348,6.251141552511421,10.882191780821914,7.000000000000002
39.0,8.327433628318586,9.051446945337622,7.208092485549134,6.264840182648406,11.227146814404428,6.000000000000002
40.0,9.144444444444447,9.577702702702704,8.072992700729928,7.153005464480879,11.64912280701754,10.999999999999996
41.0,9.47777777777778,9.712837837837839,8.21167883211679,7.136612021857928,11.754385964912275,10.0
42.0,9.144444444444447,9.807432432432433,8.087591240875915,6.890710382513666,11.982456140350871,9.0
43.0,8.811111111111114,9.516891891891893,8.576642335766426,6.874316939890716,11.877192982456135,8.0
44.0,8.744444444444447,9.469594594594597,8.014598540145988,6.595628415300552,11.947368421052625,7.0
45.0,8.647727272727273,9.245733788395905,7.814814814814815,6.181318681318686,12.067961165048537,6.000000000000001
46.0,9.59154929577465,10.091240875912408,8.643478260869566,7.081250000000004,12.699088145896647,11.0
47.0,9.43661971830986,10.120437956204379,8.634782608695653,6.831250000000006,12.519756838905767,10.0
48.0,9.87323943661972,10.346715328467154,8.730434782608697,6.581250000000006,12.905775075987833,9.0
49.0,9.63380281690141,10.31021897810219,8.669565217391305,6.781250000000005,12.854103343465038,8.0
50.0,9.30985915492958,10.120437956204379,8.869565217391305,6.643750000000006,13.021276595744673,7.0
51.0,9.185714285714287,10.14074074074074,8.342105263157896,6.262500000000005,12.896551724137924,12.000000000000002
52.0,10.016393442622952,10.964,8.882352941176471,6.871212121212126,13.40963855421686,11.0
53.0,10.196721311475411,11.044,9.058823529411764,6.7803030303030365,13.132530120481919,10.0
54.0,10.377049180327871,11.027999999999999,9.117647058823529,7.007575757575764,13.289156626506015,9.0
55.0,10.36065573770492,11.251999999999999,9.176470588235293,6.689393939393946,13.518072289156619,8.0
56.0,9.95081967213115,10.899999999999999,9.235294117647058,6.3257575757575815,13.313253012048182,7.0
57.0,9.783333333333335,11.316872427983537,9.129999999999999,6.030303030303035,13.641975308641968,6.000000000000001
58.0,11.313725490196079,11.908695652173911,9.999999999999998,7.575471698113213,14.282958199356901,11.0
59.0,11.254901960784315,12.021582733812942,10.213483146067414,7.254716981132081,14.43835616438355,10.0
60.0,11.666666666666666,12.021739130434781,10.224719101123593,7.4433962264151,13.849315068493139,9.0
61.0,11.72549019607843,11.778260869565216,10.033707865168537,6.952830188679251,14.082191780821908,8.0
62.0,11.07843137254902,11.613043478260865,9.91011235955056,6.915094339622648,13.821917808219167,12.99999999999998
63.0,11.647058823529411,11.803493449781655,10.168539325842694,6.819047619047624,13.628571428571417,11.99999999999998
64.0,11.847826086956522,12.560185185185182,10.4390243902439,7.735632183908051,14.353846153846142,10.999999999999998
65.0,11.8,12.666666666666655,10.609756097560973,8.045977011494259,14.184615384615372,9.999999999999998
66.0,11.733333333333333,13.060185185185182,10.560975609756095,7.87356321839081,14.015384615384603,8.999999999999998
67.0,11.933333333333334,12.865740740740737,10.951219512195118,7.425287356321846,13.846153846153834,7.999999999999999
68.0,11.733333333333333,12.643518518518512,11.048780487804875,7.183908045977018,14.23076923076922,6.999999999999999
69.0,11.43181818181818,13.037558685446003,10.85185185185185,6.29069767441861,14.508196721311462,5.999999999999999
70.0,12.048780487804876,13.52941176470587,10.789473684210524,7.092105263157901,15.25454545454544,11.0
71.0,11.780487804878048,13.622549019607836,10.973684210526313,7.197368421052637,15.45454545454544,10.0
72.0,11.365853658536585,13.857843137254894,10.763157894736839,7.3815789473684275,15.327272727272712,9.0
73.0,11.243902439024389,13.705882352941163,10.868421052631575,7.092105263157901,14.54545454545453,8.0
74.0,11.414634146341463,13.769607843137248,10.894736842105258,6.8815789473684275,14.85454545454544,7.0
75.0,11.179487179487179,13.93034825870646,10.94520547945205,6.733333333333339,15.938775510204065,6.000000000000001
76.0,11.499999999999996,14.481865284974084,11.701492537313428,7.539682539682546,16.276595744680833,5.000000000000001
77.0,11.666666666666664,14.44559585492227,11.865671641791039,7.968253968253975,15.91489361702126,10.0
78.0,12.33333333333333,14.560747663551386,11.761194029850742,7.349206349206356,16.063829787234024,9.0
79.0,11.999999999999996,14.683937823834187,11.567164179104472,7.682539682539689,15.957446808510621,8.0
80.0,11.33333333333333,14.579439252336432,11.283582089552231,7.349206349206356,15.340425531914876,7.0
81.0,11.08333333333333,14.999999999999982,11.567164179104472,7.0793650793650835,15.326086956521722,6.000000000000001
82.0,12.249999999999996,15.480769230769214,12.437499999999993,8.13725490196079,16.022222222222204,5.000000000000001
83.0,12.562499999999996,15.692307692307676,12.281249999999993,8.196078431372555,16.355555555555537,10.0
84.0,12.874999999999996,15.743169398907092,11.749999999999993,8.25490196078432,16.155555555555537,9.0
85.0,12.999999999999996,15.653846153846136,11.687499999999993,7.607843137254909,15.422222222222205,8.0
86.0,12.937499999999996,15.519230769230749,11.999999999999991,7.666666666666673,15.488888888888871,7.0
87.0,12.906249999999996,15.901960784313706,11.796874999999991,7.673469387755108,15.372093023255795,6.000000000000001
88.0,12.516129032258059,16.240223463687137,12.379310344827577,8.707317073170737,16.02439024390242,11.0
89.0,13.064516129032253,16.279329608938532,11.896551724137922,9.17073170731708,15.463414634146321,10.0
