      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   19.091    0.0 15.7554 22.4266   True
     average  egalitarian   18.988    0.0 15.6524 22.3236   True
     average majoritarian   18.021    0.0 14.6854 21.3566   True
     average      maximin   13.249    0.0  9.9134 16.5846   True
     average     optimist   18.372    0.0 15.0364 21.7076   True
     average  utilitarian   16.956    0.0 13.6204 20.2916   True
     average         veto    18.37    0.0 15.0344 21.7056   True
    baseline  egalitarian   -0.103    1.0 -3.4386  3.2326  False
    baseline majoritarian    -1.07 0.9783 -4.4056  2.2656  False
    baseline      maximin   -5.842    0.0 -9.1776 -2.5064   True
    baseline     optimist   -0.719 0.9981 -4.0546  2.6166  False
    baseline  utilitarian   -2.135 0.5228 -5.4706  1.2006  False
    baseline         veto   -0.721  0.998 -4.0566  2.6146  False
 egalitarian majoritarian   -0.967  0.988 -4.3026  2.3686  False
 egalitarian      maximin   -5.739    0.0 -9.0746 -2.4034   True
 egalitarian     optimist   -0.616 0.9993 -3.9516  2.7196  False
 egalitarian  utilitarian   -2.032 0.5878 -5.3676  1.3036  False
 egalitarian         veto   -0.618 0.9993 -3.9536  2.7176  False
majoritarian      maximin   -4.772 0.0004 -8.1076 -1.4364   True
majoritarian     optimist    0.351    1.0 -2.9846  3.6866  False
majoritarian  utilitarian   -1.065 0.9789 -4.4006  2.2706  False
majoritarian         veto    0.349    1.0 -2.9866  3.6846  False
     maximin     optimist    5.123 0.0001  1.7874  8.4586   True
     maximin  utilitarian    3.707 0.0173  0.3714  7.0426   True
     maximin         veto    5.121 0.0001  1.7854  8.4566   True
    optimist  utilitarian   -1.416  0.904 -4.7516  1.9196  False
    optimist         veto   -0.002    1.0 -3.3376  3.3336  False
 utilitarian         veto    1.414 0.9046 -1.9216  4.7496  False
----------------------------------------------------------------
