df_label,gini_days_mean,gini_days_median,gini_days_stdev,gini_berries_mean,gini_berries_median,gini_berries_stdev,min_days_mean,min_days_median,min_days_stdev,min_berries_mean,min_berries_median,min_berries_stdev,max_days_mean,max_days_median,max_days_stdev,max_berries_mean,max_berries_median,max_berries_stdev,total_days_mean,total_days_median,total_days_stdev,total_berries_mean,total_berries_median,total_berries_stdev,episode_length_mean,episode_length_median,episode_length_stdev
baseline,0.38627575268596775,0.3973549151204106,0.1357486572780715,0.4603415094128942,0.4702107907383137,0.15233414915918486,19.819,15.0,13.716938193102475,2.238,2.0,2.314024786105523,199.044,200.0,12.475644500614216,48.814,49.0,5.574089564626179,432.618,442.0,145.52354853830076,91.993,95.0,29.282903534988456,108.1545,69.0,87.18541996293605
utilitarian,0.45824181976460193,0.46337170801283684,0.09815313702245446,0.5499070987116679,0.5641941391941392,0.10035110507000126,17.447,15.0,9.574594710162089,1.988,2.0,1.7207024195998613,196.909,200.0,19.922590911541313,50.996,53.0,8.50319282906652,337.094,299.0,96.94300960415408,73.405,70.0,18.20231576748682,84.2735,39.0,80.0939508202055
maximin,0.3883057434212445,0.402317880794702,0.10821548183503109,0.45993573838493973,0.4635669498381877,0.1169308236659181,18.162,15.0,13.05450788716971,2.062,1.0,2.178738833110317,193.202,200.0,31.321721636050697,45.705,47.0,9.271026206786761,418.139,436.0,122.50101296388196,86.135,90.0,24.466495138952457,104.53475,68.0,85.11861774729017
egalitarian,0.39403142530929297,0.40497737556561086,0.10728609572759784,0.4628051744875287,0.4631023102310231,0.1236210721361963,19.428,15.0,13.208985324138009,2.105,1.0,2.373944104356842,198.941,200.0,12.760578017917185,46.77,47.0,6.206901451257755,431.204,442.0,112.22259261973186,88.881,91.0,21.925591681196895,107.801,74.0,86.0166618483238
average,0.3899391852428095,0.39310288335517696,0.09341345379679977,0.4845971943252109,0.4737438725490196,0.09048455900946101,18.415,15.0,10.938117635928835,1.897,1.0,1.8568357059359986,179.953,200.0,48.83430741374941,42.599,44.0,12.764761577802311,366.887,415.0,123.89674989940468,73.862,81.0,26.48838595669035,91.72175,51.0,79.66692244319717
majoritarian,0.41579019707764864,0.42087155963302747,0.11162723912669853,0.4984694341919186,0.5,0.12334061004594693,19.838,15.0,14.70714302834021,2.276,1.0,2.618908681623451,197.974,200.0,16.59863966832339,48.138,48.0,8.304451813330001,385.978,375.0,115.65694118402078,80.516,79.0,22.810437524520655,96.4945,56.0,82.17248961338774
veto,0.3635382302686659,0.3759926239799121,0.12104970967735983,0.42635691061986797,0.4375,0.1372880717217156,22.26,15.0,19.528024573513413,2.649,2.0,3.289166705659295,198.323,200.0,15.53351090259253,44.652,44.0,7.065041458534466,452.14,448.0,127.78953229652483,90.548,92.0,25.985475576578178,113.035,105.0,84.3627260250971
optimist,0.3918237328006312,0.4029017857142857,0.11385545126463832,0.4606105770029562,0.46649484536082475,0.1333151286504684,19.436,15.0,12.541179577104588,2.151,2.0,2.253281224409478,198.325,200.0,15.62842354886195,46.395,47.0,7.067313628382564,420.926,430.0,122.08072012494941,87.084,88.0,24.347396980780914,105.2315,69.0,83.95388002494471
