        Multiple Comparison of Means - Tukey HSD, FWER=0.05        
===================================================================
   group1       group2    meandiff p-adj    lower    upper   reject
-------------------------------------------------------------------
     average     baseline   65.731    0.0   49.2552  82.2068   True
     average  egalitarian   64.317    0.0   47.8412  80.7928   True
     average majoritarian   19.091 0.0105    2.6152  35.5668   True
     average      maximin   51.252    0.0   34.7762  67.7278   True
     average     optimist   54.039    0.0   37.5632  70.5148   True
     average  utilitarian  -29.793    0.0  -46.2688 -13.3172   True
     average         veto   85.253    0.0   68.7772 101.7288   True
    baseline  egalitarian   -1.414    1.0  -17.8898  15.0618  False
    baseline majoritarian   -46.64    0.0  -63.1158 -30.1642   True
    baseline      maximin  -14.479 0.1338  -30.9548   1.9968  False
    baseline     optimist  -11.692 0.3818  -28.1678   4.7838  False
    baseline  utilitarian  -95.524    0.0 -111.9998 -79.0482   True
    baseline         veto   19.522 0.0079    3.0462  35.9978   True
 egalitarian majoritarian  -45.226    0.0  -61.7018 -28.7502   True
 egalitarian      maximin  -13.065 0.2393  -29.5408   3.4108  False
 egalitarian     optimist  -10.278  0.557  -26.7538   6.1978  False
 egalitarian  utilitarian   -94.11    0.0 -110.5858 -77.6342   True
 egalitarian         veto   20.936  0.003    4.4602  37.4118   True
majoritarian      maximin   32.161    0.0   15.6852  48.6368   True
majoritarian     optimist   34.948    0.0   18.4722  51.4238   True
majoritarian  utilitarian  -48.884    0.0  -65.3598 -32.4082   True
majoritarian         veto   66.162    0.0   49.6862  82.6378   True
     maximin     optimist    2.787 0.9996  -13.6888  19.2628  False
     maximin  utilitarian  -81.045    0.0  -97.5208 -64.5692   True
     maximin         veto   34.001    0.0   17.5252  50.4768   True
    optimist  utilitarian  -83.832    0.0 -100.3078 -67.3562   True
    optimist         veto   31.214    0.0   14.7382  47.6898   True
 utilitarian         veto  115.046    0.0   98.5702 131.5218   True
-------------------------------------------------------------------
