agent_id,agent_type,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
0,egalitarian,1,34,0,4,2,0.0,0.0,222.0,2,-1.1,15,4
1,egalitarian,1,28,1,3,2,0.0,5.000000000000003,170.0,0,-1.0,11,4
2,baseline,1,200,20,38,0,3.699999999999986,156.99999999999983,17040.0,1,2.0,18,58
3,baseline,1,22,1,2,0,0.0,5.000000000000003,131.0,0,0.0,9,3
0,egalitarian,2,200,2,38,28,3.5999999999999908,47.99999999999991,7626.0,0,1.0,41,40
1,egalitarian,2,200,0,35,23,1.799999999999987,17.99999999999987,6474.0,2,1.1,43,35
2,baseline,2,9,0,0,1,0.0,0.0,42.0,3,-1.2,6,0
3,baseline,2,104,0,16,7,0.0,0.0,1464.0,0,-1.0,27,16
0,egalitarian,3,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,6,1
1,egalitarian,3,170,7,27,0,0.0,41.99999999999994,8355.0,2,-1.1,20,34
2,baseline,3,21,2,2,0,0.0,11.000000000000002,155.0,0,0.0,12,4
3,baseline,3,15,1,1,0,0.0,5.000000000000002,110.0,0,-1.0,9,2
0,egalitarian,4,21,0,2,2,0.0,0.0,144.0,0,-1.0,12,2
1,egalitarian,4,200,4,37,10,3.000000000000032,54.00000000000032,11640.0,2,0.9,38,41
2,baseline,4,200,1,49,5,10.20000000000002,108.00000000000018,11304.0,0,1.0,37,50
3,baseline,4,104,2,16,6,0.0,11.999999999999966,1332.0,0,0.0,27,18
0,egalitarian,5,15,0,1,0,0.0,0.0,63.0,0,-1.0,6,1
1,egalitarian,5,33,2,4,2,0.0,11.0,401.0,0,-1.0,13,6
2,baseline,5,200,17,37,0,2.999999999999986,131.99999999999983,15024.0,0,1.0,14,54
3,baseline,5,15,0,1,1,0.0,0.0,69.0,4,-1.2,6,1
0,egalitarian,6,27,1,3,0,0.0,5.000000000000002,170.0,0,-0.1999999999999999,15,4
1,egalitarian,6,68,2,10,2,0.0,11.99999999999999,732.0,3,-1.1,27,12
2,baseline,6,200,12,36,0,2.3999999999999875,95.99999999999989,8628.0,0,1.0,30,48
3,baseline,6,69,0,10,2,0.0,0.0,636.0,2,-1.2,33,10
0,egalitarian,7,45,0,6,1,0.0,0.0,384.0,2,-1.1,23,6
1,egalitarian,7,15,2,1,1,0.0,11.0,128.0,0,-0.1999999999999999,8,3
