agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days_left_to_live,action,reward,num_norms,total_berries
0,1,200,0,40,2,4.900000000000001,49.00000000000001,5220.0,0,1.0,25,40
1,1,200,2,39,7,4.299999999999993,54.99999999999993,4782.0,0,1.8,28,41
2,1,10,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,4,1
3,1,200,0,49,0,10.300000000000017,103.00000000000014,9354.0,0,1.0,21,49
0,2,200,0,43,3,6.600000000000021,66.0000000000002,7404.0,0,1.0,23,43
1,2,27,0,3,1,0.0,0.0,141.0,4,-1.1,13,3
2,2,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
3,2,200,0,44,0,7.200000000000008,72.00000000000007,6948.0,0,1.0,14,44
0,3,128,0,20,2,0.0,0.0,2028.0,1,-1.1,27,20
1,3,122,5,19,5,0.0,29.99999999999993,2811.0,0,-1.0,28,24
2,3,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,7,2
3,3,200,2,44,1,7.200000000000034,84.00000000000034,9966.0,0,1.8,29,46
0,4,15,0,1,1,0.0,0.0,87.0,1,-1.1,10,1
1,4,21,2,2,1,0.0,11.000000000000002,173.0,4,-1.1,16,4
2,4,21,0,2,0,0.0,0.0,114.0,2,-1.1,16,2
3,4,200,2,40,0,4.8000000000000105,60.00000000000011,6210.0,0,1.8,18,42
0,5,200,1,44,3,7.200000000000018,78.00000000000017,7722.0,0,1.8,26,45
1,5,200,2,40,11,4.800000000000013,60.00000000000013,7308.0,0,1.8,29,42
2,5,27,0,3,1,0.0,0.0,111.0,4,-1.1,16,3
3,5,200,0,51,0,11.400000000000036,114.00000000000036,13806.0,0,1.0,19,51
0,6,15,1,1,0,0.0,5.000000000000002,92.0,0,-1.0,9,2
1,6,200,1,33,0,0.6000000000000021,12.00000000000002,1914.0,0,1.8,12,34
2,6,9,2,0,0,0.0,11.0,65.0,0,-0.1999999999999999,6,2
3,6,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
0,7,15,0,1,0,0.0,0.0,63.0,1,-1.1,9,1
1,7,15,2,1,0,0.0,11.0,110.0,0,-0.1999999999999999,8,3
2,7,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
3,7,200,1,40,0,4.8000000000000025,54.00000000000002,6768.0,0,1.0,14,41
0,8,86,0,13,2,0.0,0.0,813.0,1,-1.1,22,13
1,8,80,2,12,4,0.0,11.999999999999988,810.0,0,-1.0,20,14
2,8,21,1,2,2,0.0,5.000000000000002,125.0,0,-1.0,11,3
3,8,200,1,40,0,4.799999999999997,53.999999999999964,6360.0,0,1.0,29,41
0,9,15,0,1,1,0.0,0.0,69.0,1,-1.1,9,1
1,9,21,2,2,1,0.0,11.0,203.0,4,-1.1,10,4
2,9,21,0,2,0,0.0,0.0,120.0,2,-1.1,12,2
3,9,200,1,42,0,6.000000000000013,66.00000000000013,7698.0,0,1.0,18,43
0,10,200,0,38,16,3.5999999999999903,35.9999999999999,5796.0,0,1.0,43,38
1,10,200,2,42,22,6.000000000000014,72.00000000000014,7740.0,4,1.9,47,44
2,10,194,2,31,21,0.0,11.999999999999895,3873.0,0,-1.0,46,33
3,10,200,1,36,6,2.3999999999999857,29.999999999999854,5376.0,0,1.0,44,37
0,11,128,0,20,3,0.0,0.0,2310.0,2,-1.1,25,20
1,11,104,0,16,5,0.0,0.0,1170.0,4,-1.1,21,16
2,11,9,0,0,1,0.0,0.0,42.0,2,-1.1,6,0
3,11,200,1,44,0,7.20000000000003,78.0000000000003,9942.0,1,1.8,26,45
0,12,45,0,6,0,0.0,0.0,270.0,1,-1.1,16,6
1,12,39,1,5,3,0.0,5.000000000000003,338.0,0,-1.0,18,6
2,12,27,1,3,0,0.0,5.000000000000004,188.0,0,-1.0,14,4
3,12,200,1,41,0,5.400000000000002,60.000000000000014,7308.0,1,1.8,25,42
0,13,176,0,28,10,0.0,0.0,4014.0,1,-1.1,30,28
1,13,104,1,16,6,0.0,5.9999999999999485,1866.0,4,-1.1,26,17
2,13,15,1,1,1,0.0,5.000000000000001,110.0,0,-1.0,7,2
3,13,200,2,44,8,7.200000000000032,84.00000000000031,11064.0,0,1.0,33,46
