      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline   0.1369    0.0  0.0576  0.2162   True
     average  egalitarian   0.0237 0.9856 -0.0556  0.1031  False
     average majoritarian  -0.0441 0.6983 -0.1234  0.0353  False
     average      maximin   0.2623    0.0   0.183  0.3417   True
     average     optimist   0.0616  0.264 -0.0177   0.141  False
     average  utilitarian   0.2075    0.0  0.1281  0.2868   True
     average         veto   0.2783    0.0   0.199  0.3577   True
    baseline  egalitarian  -0.1132 0.0004 -0.1925 -0.0338   True
    baseline majoritarian  -0.1809    0.0 -0.2603 -0.1016   True
    baseline      maximin   0.1254    0.0  0.0461  0.2048   True
    baseline     optimist  -0.0752 0.0778 -0.1546  0.0041  False
    baseline  utilitarian   0.0706 0.1236 -0.0088  0.1499  False
    baseline         veto   0.1414    0.0  0.0621  0.2208   True
 egalitarian majoritarian  -0.0678 0.1597 -0.1471  0.0116  False
 egalitarian      maximin   0.2386    0.0  0.1593  0.3179   True
 egalitarian     optimist   0.0379 0.8343 -0.0414  0.1173  False
 egalitarian  utilitarian   0.1837    0.0  0.1044  0.2631   True
 egalitarian         veto   0.2546    0.0  0.1753   0.334   True
majoritarian      maximin   0.3064    0.0   0.227  0.3857   True
majoritarian     optimist   0.1057 0.0014  0.0264   0.185   True
majoritarian  utilitarian   0.2515    0.0  0.1722  0.3309   True
majoritarian         veto   0.3224    0.0  0.2431  0.4017   True
     maximin     optimist  -0.2007    0.0   -0.28 -0.1213   True
     maximin  utilitarian  -0.0549 0.4178 -0.1342  0.0245  False
     maximin         veto    0.016 0.9987 -0.0633  0.0954  False
    optimist  utilitarian   0.1458    0.0  0.0665  0.2252   True
    optimist         veto   0.2167    0.0  0.1374   0.296   True
 utilitarian         veto   0.0709 0.1202 -0.0085  0.1502  False
----------------------------------------------------------------
