Metric,Test Name,Value,Type
gini_days_mean,average,0.3094694264916806,Minimum
gini_days_median,veto,0.27522189582741086,Minimum
gini_days_stdev,average,0.11215785188629636,Minimum
gini_days_summary,veto,0.4768889449781932,Minimum
gini_berries_mean,veto,0.36923195039581563,Minimum
gini_berries_median,veto,0.34137291280148424,Minimum
gini_berries_stdev,optimist,0.12355768995153119,Minimum
gini_berries_summary,veto,0.5791982411376133,Minimum
min_days_mean,optimist,30.312,Maximum
min_days_median,average,21.0,Maximum
min_days_stdev,veto,17.91962658698604,Minimum
min_days_summary,average,27.774755571292225,Maximum
min_berries_mean,majoritarian,4.182,Maximum
min_berries_median,average,2.0,Maximum
min_berries_stdev,veto,2.967124504942088,Minimum
min_berries_summary,average,1.9436939356582918,Maximum
max_days_mean,majoritarian,199.224,Maximum
max_days_median,average,200.0,Maximum
max_days_stdev,majoritarian,11.02285477212357,Minimum
max_days_summary,majoritarian,388.2011452278764,Maximum
max_berries_mean,optimist,46.69,Maximum
max_berries_median,optimist,48.0,Maximum
max_berries_stdev,majoritarian,4.489466149366348,Minimum
max_berries_summary,optimist,87.73670953804975,Maximum
total_days_mean,veto,503.526,Maximum
total_days_median,veto,525.0,Maximum
total_days_stdev,optimist,130.34874874850277,Minimum
total_days_summary,veto,892.9105699454931,Maximum
total_berries_mean,veto,102.856,Maximum
total_berries_median,veto,108.0,Maximum
total_berries_stdev,optimist,28.185136826666955,Minimum
total_berries_summary,veto,182.19929972815308,Maximum
episode_length_mean,veto,125.8815,Maximum
episode_length_median,veto,200.0,Maximum
episode_length_stdev,average,81.59717895033604,Minimum
most_common,veto,15.0,
most_common_summary,veto,4.0,
