norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,medium health,medium days,medium days,THEN,throw",5959.000000000003,13946,233737.68,33
"IF,medium berries,medium health,medium days,THEN,throw",1101.1000000000004,2587,94956.99000000003,5
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",3597.3999999999974,7898,18925.86000000001,21
"IF,medium berries,medium health,medium days,high days,THEN,throw",419.8000000000001,1052,15350.880000000016,6
"IF,medium berries,high health,medium days,THEN,throw",256.0000000000002,618,13573.859999999993,2
"IF,medium berries,high health,medium days,high days,THEN,throw",243.9000000000001,471,10532.969999999998,3
"IF,medium berries,medium health,high days,medium days,THEN,throw",154.69999999999996,735,7473.7799999999925,3
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",726.3999999999999,1500,6353.280000000005,5
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",1272.5999999999995,2714,6116.639999999999,9
"IF,medium berries,high health,high days,THEN,throw",172.09999999999994,687,5978.999999999998,6
"IF,medium berries,medium health,low days,medium days,THEN,throw",373.8000000000001,830,4680.690000000003,5
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",336.6000000000004,582,2152.7999999999965,3
"IF,medium berries,high health,low days,medium days,THEN,throw",105.5,211,1981.9500000000003,3
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",341.00000000000057,546,1798.920000000001,3
"IF,medium berries,high health,low days,high days,THEN,throw",71.70000000000002,225,836.4600000000003,2
"IF,medium berries,high health,medium days,medium days,THEN,throw",80.00000000000006,204,821.3999999999995,2
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",171.5999999999995,468,224.63999999999973,1
"IF,medium berries,medium health,low days,low days,THEN,throw",3.5,15,3.5999999999999996,1
