norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,medium health,medium days,THEN,throw",3044.0,6088,74186.84999999996,13
"IF,medium berries,medium health,medium days,medium days,THEN,throw",2099.300000000001,6062,68570.90999999999,10
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",1448.0,2896,13462.35000000002,8
"IF,medium berries,medium health,medium days,high days,THEN,throw",494.19999999999953,1568,5002.949999999999,6
"IF,medium berries,medium health,high days,medium days,THEN,throw",378.5,827,3938.8499999999976,4
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",540.5,1081,3674.2499999999986,4
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",811.5,1623,3291.5999999999976,5
"IF,medium berries,high health,medium days,medium days,THEN,throw",90.80000000000001,1149,3072.599999999998,2
"IF,medium berries,medium health,high days,low days,THEN,throw",273.0,546,2402.400000000003,2
"IF,medium berries,medium health,low days,low days,THEN,throw",190.0,380,1310.9999999999977,1
"IF,medium berries,high health,high days,medium days,THEN,throw",62.0,124,334.8000000000002,1
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",297.0,594,273.59999999999934,2
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",109.5,219,175.20000000000024,1
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",16.5,33,79.20000000000002,1
