Metric,Test Name,Value,Type
gini_days_mean,egalitarian,0.1713606426778054,Minimum
gini_days_median,egalitarian,0.1648936170212767,Minimum
gini_days_stdev,egalitarian,0.032858255470602594,Minimum
gini_berries_mean,egalitarian,0.4555912642077152,Minimum
gini_berries_median,egalitarian,0.45000000000000007,Minimum
gini_berries_stdev,baseline,0.07392393989287614,Minimum
min_days_mean,baseline,9.001,Maximum
min_days_median,baseline,9.0,Maximum
min_days_stdev,baseline,0.0316227766016838,Minimum
min_berries_mean,baseline,0.001,Maximum
min_berries_median,baseline,0.0,Maximum
min_berries_stdev,utilitarian,0.0,Minimum
max_days_mean,baseline,68.861,Maximum
max_days_median,baseline,63.0,Maximum
max_days_stdev,egalitarian,10.500798911405635,Minimum
max_berries_mean,baseline,10.272,Maximum
max_berries_median,baseline,9.0,Maximum
max_berries_stdev,egalitarian,1.7448907254162491,Minimum
total_days_mean,baseline,416.326,Maximum
total_days_median,baseline,413.0,Maximum
total_days_stdev,egalitarian,23.187723789422165,Minimum
total_berries_mean,baseline,43.847,Maximum
total_berries_median,baseline,43.0,Maximum
total_berries_stdev,egalitarian,4.102753171174642,Minimum
episode_length_mean,baseline,20.8163,Maximum
episode_length_median,baseline,15.0,Maximum
episode_length_stdev,egalitarian,5.420151387374074,Minimum
most_common,baseline,16.0,
