      Multiple Comparison of Means - Tukey HSD, FWER=0.05       
================================================================
   group1       group2    meandiff p-adj   lower   upper  reject
----------------------------------------------------------------
     average     baseline    2.262    0.0  1.9166  2.6074   True
     average  egalitarian  -4.6015    0.0 -4.9469 -4.2561   True
     average majoritarian  -1.2777    0.0 -1.6231 -0.9323   True
     average      maximin  -0.4257 0.0046 -0.7711 -0.0804   True
     average     optimist   0.0382    1.0 -0.3072  0.3836  False
     average  utilitarian  -0.6004    0.0 -0.9458  -0.255   True
     average         veto  -0.6933    0.0 -1.0387  -0.348   True
    baseline  egalitarian  -6.8635    0.0 -7.2089 -6.5181   True
    baseline majoritarian  -3.5397    0.0 -3.8851 -3.1943   True
    baseline      maximin  -2.6877    0.0 -3.0331 -2.3424   True
    baseline     optimist  -2.2238    0.0 -2.5692 -1.8784   True
    baseline  utilitarian  -2.8624    0.0 -3.2078  -2.517   True
    baseline         veto  -2.9553    0.0 -3.3007   -2.61   True
 egalitarian majoritarian   3.3238    0.0  2.9784  3.6692   True
 egalitarian      maximin   4.1757    0.0  3.8304  4.5211   True
 egalitarian     optimist   4.6397    0.0  4.2943  4.9851   True
 egalitarian  utilitarian   4.0011    0.0  3.6557  4.3465   True
 egalitarian         veto   3.9082    0.0  3.5628  4.2535   True
majoritarian      maximin   0.8519    0.0  0.5066  1.1973   True
majoritarian     optimist   1.3159    0.0  0.9705  1.6613   True
majoritarian  utilitarian   0.6773    0.0  0.3319  1.0227   True
majoritarian         veto   0.5844    0.0   0.239  0.9297   True
     maximin     optimist    0.464 0.0012  0.1186  0.8093   True
     maximin  utilitarian  -0.1747 0.7896   -0.52  0.1707  False
     maximin         veto  -0.2676 0.2672  -0.613  0.0778  False
    optimist  utilitarian  -0.6386    0.0  -0.984 -0.2932   True
    optimist         veto  -0.7315    0.0 -1.0769 -0.3862   True
 utilitarian         veto  -0.0929 0.9923 -0.4383  0.2524  False
----------------------------------------------------------------
