df_label,total_norms_mean,total_norms_median,total_norms_stdev,total_norms_summary,cooperative_norms_mean,cooperative_norms_median,cooperative_norms_stdev,cooperative_norms_summary,proportion_mean,proportion_median,proportion_stdev,proportion_summary,reward_mean,reward_median,reward_stdev,reward_summary,numerosity_mean,numerosity_median,numerosity_stdev,numerosity_summary,fitness_mean,fitness_median,fitness_stdev,fitness_summary
baseline,18.753507014028056,17.0,9.61012101918916,26.1433859948389,1.754509018036072,1.0,1.9266527142853813,0.8278563037506905,8.330872683779335,7.6923076923076925,7.468135208583506,8.55504516750352,5878.723246492987,5194.349999999999,4729.818723811838,6343.254522681148,16550.89278557114,15703.5,11992.97754490961,20261.415240661532,1911410.3448096195,300341.8500000001,3372164.7146598035,-1160412.5198501842
utilitarian,24.375,23.0,11.140488565834332,36.23451143416567,2.37,2.0,2.535651697203212,1.834348302796788,7.901950965172776,7.142857142857142,6.827980190951266,8.216827917078653,5841.979199999997,5910.249999999994,3772.4815939092045,7979.747606090787,20855.138,22373.5,12310.730667776406,30917.907332223593,1504888.8121800001,513034.5599999999,2393802.133669024,-375878.7614890239
maximin,23.798,23.0,10.259359163731936,36.538640836268065,3.783,3.0,2.7834616323309826,3.999538367669017,14.900067827907446,14.814814814814813,7.908342341139234,21.806540301583023,8395.358599999998,9547.099999999991,3948.6673418360415,13993.79125816395,29624.026,34071.5,12870.202423884239,50825.323576115756,3379567.6166099994,2658088.9050000003,3034115.6908630347,3003540.8307469646
egalitarian,23.28,21.0,11.195845075158328,33.08415492484167,2.791,2.0,2.5063121514688866,2.2846878485311137,10.803499032750985,10.526315789473683,7.112763339595911,14.217051482628758,5621.511599999998,5793.699999999999,3373.5598554737244,8041.6517445262725,21768.61,22258.5,12522.125063502841,31504.98493649716,983151.6830099999,382137.4499999998,1471734.4560209417,-106445.32301094197
average,25.443,24.0,10.844831089572644,38.598168910427354,4.098,3.0,3.513223411446921,3.584776588553079,14.081615939340097,13.636363636363635,8.733380165399783,18.984599410303947,4663.369766666664,3846.8666666666622,3663.7951248345726,4846.441308498754,17875.674,16108.0,13138.13015835137,20845.54384164863,762964.77751,142014.60000000003,1297778.2859795068,-392798.9084695068
majoritarian,21.907,20.0,9.989200925756531,31.917799074243465,2.679,2.0,2.3085251326958276,2.3704748673041727,11.13116945029373,10.714285714285714,6.782308447508323,15.063146717071117,7223.894399999997,7778.6,4219.341271211845,10783.153128788152,25052.185,28091.0,13799.499509746522,39343.685490253476,2238505.14765,1328979.3600000003,2614816.6920389044,952667.8156110961
optimist,25.282,23.0,11.422563239087406,36.85943676091259,2.265,2.0,2.09932898379034,2.1656710162096604,7.815825600317512,7.6923076923076925,5.605249910376413,9.902883382248792,7834.314099999996,8315.099999999995,3866.481224158207,12282.932875841783,28257.18,31230.5,12755.19785883457,46732.48214116543,1864360.2349200002,1112225.7000000007,2076777.7200414434,899808.2148785575
veto,17.557,16.0,9.268476447380964,24.28852355261904,2.076,2.0,1.9224775473123006,2.1535224526877,11.135985082465188,10.762548262548261,8.555622391735781,13.342910953277666,5326.404299999998,5205.449999999997,3943.5754608612488,6588.278839138747,19427.916,20281.0,13211.29826628802,26497.617733711977,1494281.7225300001,640565.4899999998,2029664.437950492,105182.77457950823
