norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,high health,high days,high days,THEN,throw",1069.9,7259,119356.23000000001,6
"IF,medium berries,medium health,medium days,medium days,THEN,throw",5010.200000000001,15990,102393.21000000005,41
"IF,medium berries,high health,high days,medium days,THEN,throw",662.4000000000002,2309,50906.87999999997,6
"IF,medium berries,medium health,high days,medium days,THEN,throw",3896.199999999999,11431,47838.509999999995,44
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",13282.5,26565,25099.2,85
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",10652.0,21304,23715.599999999995,68
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",6089.5,12179,11693.099999999999,41
"IF,medium berries,medium health,low days,medium days,THEN,throw",1132.9999999999995,2833,8804.699999999992,10
"IF,medium berries,medium health,low days,low days,high days,THEN,throw",1134.0,2268,8128.199999999996,8
"IF,medium berries,high health,medium days,high days,THEN,throw",186.3000000000001,2243,7579.499999999995,10
"IF,medium berries,medium health,medium days,low days,THEN,throw",937.3000000000001,1939,7422.899999999986,7
"IF,medium berries,medium health,high days,low days,low days,THEN,throw",942.5,1885,6496.800000000012,6
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",6538.0,13076,5132.400000000007,53
"IF,medium berries,medium health,medium days,medium days,medium days,THEN,throw",2852.0,5704,4822.200000000009,17
"IF,high berries,high health,high days,THEN,throw",31.200000000000003,80,3754.2,3
"IF,medium berries,medium health,high days,low days,THEN,throw",1161.0,2322,3479.4000000000033,8
"IF,medium berries,medium health,low days,high days,medium days,THEN,throw",1194.0,2388,3442.049999999997,9
"IF,medium berries,high health,medium days,medium days,THEN,throw",265.2999999999997,819,3162.150000000002,3
"IF,medium berries,medium health,low days,high days,THEN,throw",330.49999999999955,2194,2906.940000000001,8
"IF,medium berries,medium health,medium days,low days,high days,THEN,throw",1443.0,2886,2723.3999999999996,11
"IF,medium berries,high health,high days,THEN,throw",78.70000000000002,538,2408.8500000000004,14
"IF,medium berries,medium health,medium days,high days,low days,THEN,throw",979.0,1958,1979.4000000000003,8
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",6826.5,13653,1917.599999999997,54
"IF,medium berries,medium health,low days,high days,high days,THEN,throw",228.0,456,1612.8000000000025,2
"IF,medium berries,medium health,low days,medium days,high days,THEN,throw",1173.5,2347,1444.1999999999998,11
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",3347.0,6694,1198.800000000001,29
"IF,medium berries,high health,high days,low days,THEN,throw",279.5,559,871.2000000000016,3
"IF,medium berries,medium health,high days,medium days,low days,THEN,throw",483.5,967,475.2000000000006,4
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",3147.0,6294,0.0,28
"IF,medium berries,medium health,low days,low days,THEN,throw",308.0,616,0.0,2
"IF,medium berries,low health,low days,medium days,high days,THEN,throw",-67.19999999999987,336,0.0,1
"IF,medium berries,low health,medium days,high days,low days,THEN,throw",-47.99999999999989,240,0.0,1
"IF,medium berries,medium health,medium days,high days,medium days,THEN,throw",522.0,1044,0.0,4
"IF,medium berries,medium health,low days,high days,low days,THEN,throw",260.0,520,0.0,3
"IF,medium berries,medium health,medium days,medium days,high days,THEN,throw",287.5,575,0.0,2
"IF,medium berries,medium health,high days,low days,medium days,THEN,throw",102.0,204,0.0,1
"IF,medium berries,medium health,high days,medium days,medium days,THEN,throw",120.0,240,0.0,1
"IF,medium berries,high health,medium days,high days,medium days,THEN,throw",84.0,168,0.0,1
"IF,medium berries,medium health,high days,high days,medium days,THEN,throw",84.0,168,0.0,1
"IF,medium berries,low health,high days,medium days,high days,THEN,throw",-33.599999999999945,168,0.0,1
"IF,medium berries,medium health,high days,high days,THEN,throw",14.699999999999996,105,-24.0,3
"IF,medium berries,low health,medium days,low days,THEN,throw",-97.19999999999979,486,-116.63999999999986,1
"IF,medium berries,low health,high days,medium days,THEN,throw",-142.80000000000004,714,-135.59999999999985,3
"IF,medium berries,low health,medium days,low days,high days,THEN,throw",-79.19999999999996,396,-348.4799999999989,1
"IF,medium berries,low health,medium days,high days,medium days,THEN,throw",-107.2,536,-440.6399999999994,2
"IF,medium berries,low health,medium days,low days,medium days,THEN,throw",-1870.399999999998,9292,-545.9999999999993,41
"IF,medium berries,low health,low days,low days,THEN,throw",-129.59999999999968,648,-1088.6400000000033,1
"IF,medium berries,low health,medium days,medium days,low days,THEN,throw",-3482.9999999999936,17415,-1670.16,64
"IF,medium berries,low health,low days,medium days,THEN,throw",-465.00000000000006,1540,-2423.5199999999977,7
"IF,medium berries,low health,low days,medium days,medium days,THEN,throw",-3220.7999999999975,14449,-2619.900000000003,56
"IF,medium berries,low health,medium days,medium days,medium days,THEN,throw",-3681.3999999999965,17087,-2705.279999999996,49
"IF,medium berries,low health,high days,high days,THEN,throw",-131.39999999999986,657,-4765.440000000003,1
"IF,medium berries,low health,low days,medium days,low days,THEN,throw",-3787.3999999999965,18877,-6103.680000000003,63
"IF,medium berries,low health,medium days,medium days,THEN,throw",-734.2000000000002,2741,-11464.559999999974,11
"IF,medium berries,low health,low days,low days,medium days,THEN,throw",-5726.799999999993,27794,-14984.040000000003,92
"IF,medium berries,low health,medium days,low days,low days,THEN,throw",-5150.999999999996,23925,-18692.75999999998,80
"IF,medium berries,low health,medium days,high days,THEN,throw",-2516.1999999999994,10821,-60652.259999999995,33
"IF,medium berries,medium health,medium days,high days,THEN,throw",3749.0999999999976,43229,-122536.37999999998,118
"IF,medium berries,medium health,medium days,THEN,throw",-2809.9999999999964,21162,-189579.42000000013,26
"IF,medium berries,low health,low days,low days,low days,THEN,throw",-34576.200000000004,171976,-193032.54000000007,231
