norm,reward,numerosity,fitness,num_instances_across_episodes
"IF,medium berries,high health,medium days,medium days,THEN,throw",28488.09999999999,65713,2334267.2100000004,118
"IF,medium berries,high health,medium days,medium days,medium days,THEN,throw",22825.699999999983,29611,1095644.7899999998,34
"IF,medium berries,high health,high days,high days,THEN,throw",9897.200000000003,46866,1024547.4900000001,51
"IF,medium berries,medium health,medium days,medium days,medium days,THEN,throw",26646.29999999999,56183,742068.4799999996,64
"IF,medium berries,medium health,medium days,medium days,THEN,throw",15946.199999999995,53580,434819.18999999965,80
"IF,medium berries,high health,medium days,high days,THEN,throw",13155.199999999995,44946,416438.8500000001,100
"IF,medium berries,high health,high days,medium days,THEN,throw",3529.499999999999,14877,199932.53999999995,43
"IF,medium berries,high health,high days,medium days,medium days,THEN,throw",2936.8,4440,198382.16999999987,10
"IF,medium berries,high health,medium days,high days,medium days,THEN,throw",1859.800000000001,2854,63432.77999999994,8
"IF,medium berries,medium health,medium days,high days,THEN,throw",873.9000000000003,7713,31717.110000000015,33
"IF,medium berries,medium health,low days,medium days,medium days,THEN,throw",2126.7000000000003,3811,27555.000000000004,10
"IF,medium berries,high health,high days,THEN,throw",566.8000000000001,2172,21589.56,8
"IF,medium berries,medium health,medium days,medium days,low days,THEN,throw",3402.3999999999974,7680,21312.359999999993,20
"IF,medium berries,high health,medium days,medium days,high days,THEN,throw",1389.2999999999997,1849,20950.320000000003,6
"IF,medium berries,high health,high days,high days,medium days,THEN,throw",591.5000000000002,1163,15647.55,5
"IF,medium berries,medium health,high days,medium days,THEN,throw",528.7000000000002,1957,13848.839999999998,18
"IF,medium berries,medium health,low days,low days,medium days,THEN,throw",3343.599999999997,5948,11369.519999999993,15
"IF,medium berries,medium health,low days,low days,low days,THEN,throw",2756.6000000000004,4078,7717.2,11
"IF,medium berries,high health,high days,medium days,high days,THEN,throw",496.8000000000001,1020,7350.509999999999,4
"IF,medium berries,high health,medium days,THEN,throw",545.4999999999999,1737,5309.399999999998,11
"IF,medium berries,high health,medium days,low days,THEN,throw",202.59999999999982,248,4471.199999999997,2
"IF,medium berries,high health,high days,high days,high days,THEN,throw",182.09999999999997,429,3450.3600000000006,2
"IF,medium berries,high health,medium days,high days,high days,THEN,throw",184.60000000000002,276,2270.7599999999998,4
"IF,medium berries,medium health,medium days,low days,medium days,THEN,throw",825.3000000000009,1501,2164.8300000000027,11
"IF,medium berries,medium health,medium days,high days,medium days,THEN,throw",130.39999999999995,332,2062.6800000000007,4
"IF,medium berries,medium health,high days,medium days,medium days,THEN,throw",293.1,951,1955.6100000000004,5
"IF,medium berries,medium health,low days,medium days,low days,THEN,throw",466.6000000000008,618,1798.199999999996,3
"IF,medium berries,medium health,medium days,low days,low days,THEN,throw",127.99999999999973,348,764.4000000000016,2
"IF,medium berries,medium health,high days,low days,THEN,throw",311.6999999999993,381,633.9599999999987,2
"IF,medium berries,high health,high days,low days,THEN,throw",42.40000000000001,106,356.58,2
"IF,medium berries,medium health,medium days,high days,low days,THEN,throw",126.49999999999973,345,234.59999999999977,1
"IF,medium berries,medium health,low days,medium days,THEN,throw",109.79999999999974,698,93.11999999999996,2
"IF,medium berries,medium health,high days,high days,THEN,throw",-3.4416913763379853e-15,248,85.89000000000004,2
"IF,medium berries,medium health,low days,high days,THEN,throw",11.4,18,38.88000000000001,1
"IF,medium berries,high health,low days,high days,THEN,throw",8.4,28,7.5600000000000005,1
"IF,medium berries,medium health,medium days,low days,THEN,throw",46.20000000000003,126,5.040000000000004,1
"IF,medium berries,high health,low days,medium days,THEN,throw",1.7000000000000002,3,0.48,1
