reward,numerosity,fitness
0,30,0.0
0,36,0.0
0,412,0.0
-6,102,-45.0
0,480,0.0
-6,150,0.0
0,487,0.0
-6,168,-36.0
0,30,0.0
0,527,0.0
-6,120,-54.0
0,193,0.0
0,463,0.0
-6,72,-3.6
0,452,0.0
-6,132,0.0
0,42,0.0
0,30,0.0
0,469,0.0
-6,156,0.0
0,267,0.0
0,273,0.0
0,505,0.0
-6,222,-36.0
0,24,0.0
0,259,0.0
0,474,0.0
-6,126,-10.8
0,465,0.0
-6,174,-27.0
0,23,0.0
0,513,0.0
-6,108,0.0
0,451,0.0
-6,132,0.0
0,2,0.0
0,449,0.0
-6,186,-45.0
0,5,0.0
0,475,0.0
0,96,0.0
0,247,0.0
0,240,0.0
0,476,0.0
-6,132,-21.6
0,271,0.0
0,254,0.0
0,464,0.0
-6,210,0.0
0,3,0.0
0,470,0.0
-6,168,-54.0
0,477,0.0
-6,90,0.0
0,24,0.0
0,248,0.0
0,464,0.0
-6,138,0.0
0,490,0.0
0,24,0.0
-6,96,-16.2
0,30,0.0
0,271,0.0
0,451,0.0
-6,168,-54.0
0,705,0.0
-12,348,0.0
0,18,0.0
0,4,0.0
0,242,0.0
0,286,0.0
0,275,0.0
0,426,0.0
0,36,0.0
0,36,0.0
0,132,0.0
0,474,0.0
0,162,0.0
0,681,0.0
-12,300,-36.0
0,470,0.0
0,138,0.0
0,5,0.0
0,282,0.0
0,266,0.0
0,438,0.0
-6,78,0.0
0,475,0.0
-6,174,0.0
0,3,0.0
0,254,0.0
0,491,0.0
-6,96,0.0
0,260,0.0
0,287,0.0
0,435,0.0
0,30,0.0
-6,162,-3.6
0,36,0.0
0,463,0.0
-6,156,0.0
0,446,0.0
-6,150,-54.0
0,474,0.0
-6,144,0.0
0,4,0.0
0,285,0.0
0,235,0.0
0,679,0.0
0,216,0.0
-6,48,0.0
0,8,0.0
0,417,0.0
-6,96,0.0
0,30,0.0
0,457,0.0
-6,78,-16.2
0,660,0.0
-12,168,0.0
0,19,0.0
0,283,0.0
0,276,0.0
0,517,0.0
-6,150,-21.6
0,476,0.0
-6,210,-27.0
0,451,0.0
0,72,0.0
0,18,0.0
0,18,0.0
0,258,0.0
0,507,0.0
-6,90,0.0
0,36,0.0
0,12,0.0
0,240,0.0
0,247,0.0
0,438,0.0
-6,174,0.0
0,243,0.0
0,488,0.0
0,228,0.0
0,264,0.0
0,451,0.0
-6,144,-45.0
0,427,0.0
0,72,0.0
0,36,0.0
-6,144,-21.6
0,48,0.0
0,458,0.0
-6,144,0.0
0,475,0.0
-6,138,-36.0
0,451,0.0
-6,234,0.0
0,259,0.0
0,438,0.0
-6,120,0.0
0,413,0.0
-6,144,0.0
-6,108,0.0
0,204,0.0
0,30,0.0
0,644,0.0
0,48,0.0
0,84,0.0
0,60,0.0
0,48,0.0
0,471,0.0
-6,120,-45.0
0,279,0.0
0,483,0.0
-6,114,-27.0
0,11,0.0
0,505,0.0
-6,162,-3.6
0,259,0.0
0,496,0.0
-6,198,-54.0
0,495,0.0
-6,168,0.0
0,54,0.0
0,2,0.0
0,470,0.0
-6,72,-18.0
0,3,0.0
0,410,0.0
0,48,0.0
-6,90,-3.6
0,24,0.0
0,463,0.0
-6,150,0.0
0,3,0.0
0,479,0.0
0,36,0.0
-6,102,0.0
0,253,0.0
0,261,0.0
0,450,0.0
-6,204,-3.6
0,271,0.0
0,246,0.0
0,479,0.0
0,42,0.0
0,42,0.0
0,126,0.0
0,421,0.0
0,24,0.0
0,90,0.0
0,18,0.0
0,227,0.0
0,471,0.0
0,60,0.0
0,126,0.0
0,30,0.0
0,42,0.0
0,242,0.0
0,474,0.0
-6,180,-10.8
0,493,0.0
-6,168,-21.6
0,6,0.0
0,247,0.0
0,453,0.0
-6,54,0.0
0,660,0.0
-12,240,0.0
0,12,0.0
0,266,0.0
0,642,0.0
-12,156,-72.0
0,247,0.0
0,490,0.0
0,36,0.0
0,102,0.0
0,249,0.0
0,451,0.0
-6,156,-54.0
0,469,0.0
-6,174,-3.6
0,469,0.0
-6,186,-54.0
-6,102,0.0
0,192,0.0
0,475,0.0
-6,138,0.0
0,496,0.0
-6,138,0.0
0,42,0.0
0,466,0.0
0,108,0.0
0,271,0.0
0,450,0.0
-6,180,-14.4
0,259,0.0
0,416,0.0
0,78,0.0
-6,132,0.0
0,18,0.0
0,18,0.0
0,475,0.0
-6,138,0.0
0,30,0.0
0,519,0.0
-6,270,-21.6
0,493,0.0
-6,156,-21.6
0,242,0.0
0,469,0.0
-6,144,-3.6
0,420,0.0
0,36,0.0
-6,66,0.0
0,42,0.0
0,11,0.0
0,240,0.0
0,256,0.0
0,444,0.0
-6,180,0.0
0,498,0.0
-6,144,0.0
0,480,0.0
-6,144,-54.0
0,210,0.0
0,96,0.0
0,260,0.0
0,469,0.0
0,126,0.0
0,422,0.0
0,42,0.0
-6,162,0.0
0,42,0.0
0,18,0.0
0,444,0.0
-6,114,-3.6
0,266,0.0
0,255,0.0
0,525,0.0
0,186,0.0
0,425,0.0
0,132,0.0
0,492,0.0
-6,246,-54.0
0,475,0.0
-6,204,-27.0
0,505,0.0
-6,162,-18.0
0,3,0.0
0,520,0.0
0,150,0.0
0,60,0.0
0,96,0.0
0,30,0.0
-6,132,-3.6
0,54,0.0
0,30,0.0
0,477,0.0
0,36,0.0
0,60,0.0
-6,120,-16.2
0,456,0.0
0,180,0.0
0,5,0.0
0,517,0.0
-6,180,0.0
0,10,0.0
0,643,0.0
-12,240,-108.0
0,235,0.0
0,254,0.0
0,493,0.0
-6,96,0.0
0,186,0.0
-6,210,0.0
0,500,0.0
-6,180,-54.0
0,259,0.0
0,439,0.0
0,36,0.0
-6,126,-28.8
0,12,0.0
0,261,0.0
0,444,0.0
0,192,0.0
0,5,0.0
0,258,0.0
0,418,0.0
-6,126,0.0
0,48,0.0
0,12,0.0
0,12,0.0
0,18,0.0
0,30,0.0
0,522,0.0
0,84,0.0
0,72,0.0
0,24,0.0
0,463,0.0
0,180,0.0
0,445,0.0
-6,132,-3.6
0,192,0.0
0,108,0.0
0,36,0.0
0,474,0.0
-6,108,0.0
0,478,0.0
-6,198,0.0
0,475,0.0
-6,108,0.0
0,3,0.0
0,246,0.0
0,253,0.0
0,260,0.0
0,290,0.0
0,444,0.0
-6,54,0.0
0,259,0.0
0,529,0.0
0,204,0.0
0,437,0.0
0,162,0.0
0,488,0.0
