day,baseline,egalitarian,maximin,utilitarian
1.0,0.0,0.0,0.0,0.0
2.0,0.5101078167115902,0.5698433420365535,0.473175965665236,0.32901907356948235
3.0,0.4684900831733846,0.4866883116883117,0.4516806722689075,0.33215661103979455
4.0,0.489514802631579,0.4299455888068403,0.3878159275154984,0.31054836252856066
5.0,0.4751735587081194,0.3464708912931478,0.32291991274540344,0.2927270291990356
6.0,0.4311842706904436,0.3011684885035808,0.2542875989445912,0.27567485285163384
7.0,0.3539830508474576,0.27390804597701157,0.18400031022180863,0.23585874545741836
8.0,0.28319311160772975,0.2586084142394822,0.14868537479458976,0.19102405922270216
9.0,0.28862164662349676,0.21899352431127217,0.13046025996164512,0.17406529752501343
10.0,0.14562358712533174,0.12505560476016653,0.1101244174222864,0.11490636076808713
11.0,0.15911040676645394,0.13304508532751713,0.11804140304279853,0.1258395364856244
12.0,0.1619828822722631,0.1363065213517125,0.1126282751412393,0.12202714056897057
13.0,0.1585511065675287,0.1385118378254988,0.09719811289596758,0.11538711592898032
14.0,0.15791112664253726,0.13264998502506287,0.09293447452944892,0.10882791142922366
15.0,0.16121146787740814,0.12709686076005244,0.09137507897126396,0.10525631963700066
16.0,0.10214064755184249,0.09132550611658119,0.08212674703746425,0.08428658276951051
17.0,0.10930277375582853,0.09555543352569029,0.08446337652781222,0.08804038830775651
18.0,0.10763666378046577,0.09811822064334108,0.08066448640430668,0.08328053326282503
19.0,0.10534941470685899,0.09877808178507719,0.07485145483038358,0.0782822979877098
20.0,0.10763554824995625,0.09326430695582966,0.07516373851545999,0.07354333089570386
21.0,0.10967369598686982,0.0908994527577025,0.07606423507348925,0.07065225947905329
22.0,0.08808194456941609,0.07277434663179361,0.06869959253491476,0.06378812696998892
23.0,0.09168003806113312,0.0757058447416501,0.06863370483940612,0.06633930549904421
24.0,0.08936090236133287,0.07873131844538728,0.06580045401581303,0.06477418144452174
25.0,0.08561930033115539,0.07479621973764106,0.0643133365188775,0.06120123323231841
26.0,0.08422323768144446,0.07152597125547033,0.06409480253873734,0.058730297089180095
27.0,0.08599771543242851,0.07176193296364852,0.06477552172500056,0.05714972662382589
28.0,0.0781632924826503,0.06216751110462648,0.058729662392613236,0.053669048898041805
29.0,0.08117048571512275,0.06486730852112532,0.05805374375961425,0.05510058927723871
30.0,0.08147037071238916,0.06632536452949478,0.057924228016225765,0.05379958163251497
31.0,0.0774429860093806,0.06369244614783653,0.0584387858345885,0.049857419032947936
32.0,0.07822225271620287,0.061812401222986146,0.05693483432509838,0.04839461654804822
33.0,0.07977575241359136,0.06318169093218962,0.05765323711958725,0.04839216013320535
34.0,0.07356125365904642,0.05645897691358326,0.05333249505482285,0.043997289385795835
35.0,0.07659084034321384,0.058231509864203446,0.05391117380825983,0.04440569994206167
36.0,0.0770585161068309,0.05930640519316377,0.052880609007307955,0.04356955868525536
37.0,0.07435766861881254,0.056007245942144346,0.05233459771678528,0.04097202843221037
38.0,0.07614272707990821,0.05596575251849978,0.049667881499009914,0.040905820930856596
39.0,0.07461406674562676,0.056608714006359806,0.05039903022768777,0.039338131023518574
40.0,0.066576739520265,0.0535004305600042,0.046103048440589545,0.03693072295774913
41.0,0.06883581716162213,0.054363134551038916,0.04590730284944122,0.037380996584532644
42.0,0.06690366184210461,0.05641546589676194,0.046599516832617205,0.036601437230653344
43.0,0.06795857007174821,0.05204492707844843,0.046952119888628685,0.03704089079150763
44.0,0.0668208665636747,0.052433876044233996,0.04545952413455301,0.03805883433999058
45.0,0.06328140016654515,0.05232407710050313,0.04532072001307186,0.037733843861651684
46.0,0.061845848324182606,0.049692517142152726,0.043219819679664706,0.03452015195735281
47.0,0.06326952710341693,0.05039325654850724,0.04333887901162026,0.035168849912740496
48.0,0.06433350116695036,0.05155968357548546,0.04366862646018821,0.034314380768701636
49.0,0.062293752817236925,0.0488960286128326,0.044631783744291775,0.03426282547739623
50.0,0.062449810758577806,0.04975263715467726,0.04164895732150553,0.03540835362206396
