,reward,numerosity,fitness
0,3.3,13,11.850000000000001
1,12.0,24,56.7
2,1.5,3,1.2
3,12.0,24,36.0
4,2.0,4,10.8
5,9.0,18,10.8
6,9.0,18,25.2
7,1.5,3,7.2
8,45.0,90,107.99999999999994
9,9.0,18,10.8
10,36.0,72,14.399999999999995
11,38.0,76,45.59999999999999
12,9.0,18,32.4
13,2.5,3,3.6
14,4.8,18,4.319999999999999
15,10.5,21,12.600000000000001
16,9.0,18,25.2
17,27.0,54,10.799999999999997
18,27.0,54,54.0
19,9.0,18,10.8
20,9.0,18,28.8
21,90.0,180,243.0
22,9.6,36,2.1599999999999997
23,1.5,3,1.8
24,10.5,21,16.8
25,1.5,3,3.0
26,1.5,3,3.0
27,9.0,18,3.6
28,12.0,24,151.20000000000002
