episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
1,171.0,18332.0,8873.5,35494.0,3,78,41.5,166
2,81.0,23970.0,11556.75,46227.0,1,87,39.75,159
3,86.0,22356.0,9124.0,36496.0,2,86,40.5,162
4,68.0,24456.0,9360.25,37441.0,2,87,39.75,159
5,36.0,23784.0,6248.75,24995.0,0,84,26.25,105
6,264.0,24480.0,8758.5,35034.0,4,85,43.25,173
7,114.0,26094.0,10134.5,40538.0,2,84,42.5,170
8,105.0,29910.0,7747.25,30989.0,1,89,26.0,104
9,63.0,29034.0,7445.75,29783.0,1,88,25.5,102
10,107.0,21696.0,10850.75,43403.0,3,83,40.5,162
11,36.0,16482.0,4274.0,17096.0,0,78,22.25,89
12,150.0,25284.0,12164.25,48657.0,2,86,40.0,160
13,122.0,31206.0,11201.0,44804.0,4,89,44.25,177
14,125.0,25446.0,9739.25,38957.0,2,80,40.75,163
15,351.0,25704.0,8484.0,33936.0,9,83,38.75,155
16,36.0,36984.0,9419.75,37679.0,0,93,27.0,108
17,36.0,23274.0,11590.5,46362.0,0,90,39.75,159
18,102.0,27690.0,7277.25,29109.0,2,86,27.75,111
19,36.0,32694.0,8261.0,33044.0,0,89,23.75,95
20,86.0,28734.0,9880.75,39523.0,2,89,45.0,180
21,42.0,29382.0,8054.0,32216.0,0,89,29.75,119
22,113.0,32340.0,9277.75,37111.0,3,91,36.5,146
23,249.0,27996.0,8056.5,32226.0,5,89,34.75,139
24,132.0,33540.0,11886.75,47547.0,2,91,45.5,182
25,108.0,33246.0,8437.25,33749.0,2,92,25.75,103
26,183.0,36072.0,9264.0,37056.0,3,93,28.25,113
27,69.0,26340.0,9496.5,37986.0,1,82,42.0,168
28,351.0,32982.0,11916.0,47664.0,9,90,50.0,200
29,249.0,21300.0,10766.25,43065.0,6,83,41.25,165
30,36.0,25272.0,11543.25,46173.0,0,85,41.25,165
31,125.0,18648.0,5092.25,20369.0,2,81,27.0,108
32,267.0,17100.0,4587.25,18349.0,5,78,26.75,107
33,41.0,30198.0,9151.25,36605.0,1,89,35.5,142
34,36.0,25560.0,6470.75,25883.0,0,84,22.75,91
35,143.0,32334.0,11752.75,47011.0,3,89,43.25,173
36,75.0,32736.0,9291.0,37164.0,1,91,36.75,147
37,41.0,23544.0,6233.75,24935.0,1,84,25.75,103
38,36.0,24834.0,10506.0,42024.0,0,81,42.5,170
39,63.0,24750.0,10907.75,43631.0,1,86,38.75,155
40,159.0,28548.0,10047.75,40191.0,3,85,42.0,168
41,132.0,23790.0,11595.75,46383.0,2,88,41.0,164
42,87.0,33480.0,11566.5,46266.0,1,88,42.0,168
43,41.0,42468.0,14732.0,58928.0,1,95,44.25,177
44,162.0,23898.0,10771.5,43086.0,4,78,54.0,216
45,42.0,20844.0,8422.25,33689.0,0,80,39.0,156
46,36.0,24972.0,11244.75,44979.0,0,82,38.5,154
47,203.0,35292.0,14701.25,58805.0,5,93,57.25,229
48,36.0,1038.0,521.75,2087.0,0,20,8.75,35
49,140.0,29970.0,7713.25,30853.0,4,89,27.0,108
50,41.0,24600.0,12298.25,49193.0,1,84,39.0,156
51,74.0,29574.0,8013.5,32054.0,2,86,30.5,122
52,36.0,30186.0,10766.25,43065.0,0,87,41.5,166
53,69.0,28332.0,7180.25,28721.0,1,83,22.75,91
54,81.0,18096.0,7028.25,28113.0,1,80,40.0,160
55,107.0,29280.0,7570.75,30283.0,3,90,26.25,105
56,41.0,25512.0,11237.75,44951.0,1,82,42.25,169
57,36.0,186.0,120.0,480.0,0,4,2.0,8
58,204.0,25866.0,11295.0,45180.0,6,84,55.75,223
59,36.0,131.0,85.0,340.0,0,4,2.0,8
60,81.0,31476.0,9124.25,36497.0,1,87,31.25,125
61,36.0,26514.0,9932.25,39729.0,0,88,40.75,163
62,114.0,40110.0,14229.0,56916.0,2,94,47.5,190
63,36.0,26190.0,11049.75,44199.0,0,82,42.75,171
64,41.0,29802.0,7925.5,31702.0,1,89,30.0,120
65,296.0,29994.0,10502.0,42008.0,8,90,45.5,182
66,138.0,18072.0,4757.0,19028.0,2,80,25.25,101
67,62.0,20496.0,9110.75,36443.0,1,83,40.0,160
68,213.0,24288.0,6499.25,25997.0,3,85,27.25,109
69,36.0,22488.0,10851.75,43407.0,0,83,39.75,159
70,86.0,38922.0,13562.75,54251.0,2,94,43.75,175
71,41.0,35400.0,10620.5,42482.0,1,93,36.25,145
72,41.0,8496.0,2680.25,10721.0,1,68,23.0,92
73,75.0,26298.0,6800.0,27200.0,1,84,25.25,101
74,41.0,33396.0,8441.5,33766.0,1,92,25.0,100
75,330.0,29004.0,10949.25,43797.0,7,83,44.5,178
76,36.0,32778.0,9934.25,39737.0,0,93,40.75,163
77,69.0,25578.0,6546.75,26187.0,1,85,24.0,96
78,204.0,284.0,252.25,1009.0,4,6,5.25,21
79,36.0,31902.0,8111.75,32447.0,0,91,25.5,102
80,81.0,24078.0,9771.75,39087.0,1,81,39.25,157
81,36.0,28482.0,11178.75,44715.0,0,80,40.25,161
82,36.0,29184.0,7341.25,29365.0,0,88,22.75,91
83,63.0,28560.0,7208.75,28835.0,1,87,23.25,93
84,36.0,30642.0,7822.25,31289.0,0,91,25.25,101
85,75.0,30498.0,7709.0,30836.0,1,91,24.25,97
86,137.0,20640.0,7463.0,29852.0,3,81,41.25,165
87,69.0,23586.0,9384.75,37539.0,1,83,42.0,168
88,36.0,20886.0,9235.5,36942.0,0,83,41.25,165
89,69.0,31410.0,11178.75,44715.0,1,87,41.0,164
90,96.0,24480.0,7358.25,29433.0,2,86,34.25,137
91,132.0,31446.0,10883.25,43533.0,2,89,42.25,169
92,161.0,36738.0,9580.75,38323.0,5,92,29.5,118
93,47.0,28770.0,10437.5,41750.0,1,89,44.25,177
94,41.0,26688.0,6866.0,27464.0,1,86,25.0,100
95,231.0,30012.0,10900.5,43602.0,3,86,41.5,166
96,155.0,24570.0,12228.5,48914.0,3,84,40.75,163
97,36.0,15624.0,4208.25,16833.0,0,77,24.0,96
98,129.0,27834.0,7130.75,28523.0,3,83,24.0,96
99,165.0,29646.0,10385.75,41543.0,3,87,40.75,163
100,267.0,25866.0,11245.5,44982.0,7,86,43.5,174
101,153.0,25764.0,12095.25,48381.0,3,83,57.0,228
102,36.0,22530.0,10494.0,41976.0,0,85,42.5,170
103,42.0,23598.0,11371.5,45486.0,0,87,41.25,165
104,75.0,18870.0,9463.25,37853.0,1,86,40.5,162
105,132.0,21570.0,8584.5,34338.0,2,83,42.5,170
106,120.0,35490.0,8973.25,35893.0,2,95,26.0,104
107,36.0,23268.0,11618.0,46472.0,0,85,39.0,156
108,36.0,31686.0,8057.75,32231.0,0,90,25.75,103
109,87.0,36828.0,9507.5,38030.0,1,90,29.0,116
110,228.0,27288.0,10485.75,41943.0,4,80,45.0,180
111,222.0,22248.0,11010.75,44043.0,4,84,41.0,164
112,81.0,25032.0,11187.75,44751.0,1,82,39.75,159
113,164.0,28428.0,7370.0,29480.0,4,86,26.5,106
114,36.0,23370.0,5887.5,23550.0,0,82,21.0,84
115,74.0,24594.0,10768.25,43073.0,2,82,41.25,165
116,75.0,33090.0,9402.0,37608.0,1,90,37.75,151
117,171.0,22032.0,7267.5,29070.0,3,84,42.5,170
118,41.0,18840.0,5006.75,20027.0,1,81,25.25,101
119,405.0,25572.0,9815.0,39260.0,8,80,44.25,177
120,69.0,22830.0,9201.75,36807.0,1,82,41.0,164
121,36.0,20388.0,9711.0,38844.0,0,82,39.5,158
122,36.0,32718.0,11495.25,45981.0,0,90,42.0,168
123,53.0,24648.0,6314.5,25258.0,1,86,24.0,96
