day,baseline,egalitarian,maximin,utilitarian,all_principles,multiobjective_mp
1.0,0.0,0.0,0.0,0.0,0.0,
2.0,0.123,0.061,0.085,0.089,0.089,0.0
3.0,0.434,0.22,0.338,0.309,0.319,1.0
4.0,0.612,0.385,0.407,0.609,0.364,1.0
5.0,0.794,0.558,0.606,0.835,0.596,1.0
6.0,1.008,0.794,0.839,1.058,0.797,1.0
7.0,1.174,0.937,1.039,1.222,0.964,1.0
8.0,1.402,1.108,1.254,1.45,1.135,2.0
9.0,1.624,1.282,1.433,1.732,1.307,3.0
10.0,1.8405036726128017,1.547645125958379,1.622543950361944,1.9447236180904524,1.5484913793103448,4.0
11.0,2.0157397691500525,1.7185104052573932,1.829369183040331,2.1728643216080403,1.7672413793103448,4.0
12.0,2.1951731374606505,1.8948521358159913,2.031023784901758,2.4010050251256283,1.9428879310344827,4.0
13.0,2.3630640083945433,2.0503833515881706,2.261633919338159,2.624120603015075,2.1099137931034484,4.0
14.0,2.5676810073452256,2.2190580503833517,2.5191313340227506,2.8442211055276383,2.257591623036649,4.0
15.0,2.78803777544596,2.40128068303095,2.7094105480868667,3.08643216080402,2.4364224137931036,5.0
16.0,3.0284463894967177,2.7537688442211055,2.953763440860215,3.335030549898167,2.7151230949589684,5.0
17.0,3.1892778993435447,2.9472361809045227,3.1365591397849464,3.566191446028513,2.893317702227433,5.0
18.0,3.341356673960613,3.135678391959799,3.3526881720430106,3.7688391038696536,3.044548651817116,5.0
19.0,3.5065645514223194,3.3103015075376883,3.5580645161290323,3.9908350305498983,3.2274325908558033,5.0
20.0,3.6728665207877462,3.5,3.8204301075268816,4.205702647657841,3.4076502732240437,5.0
21.0,3.9070021881838075,3.6855345911949686,4.016129032258065,4.460285132382892,3.5628672150411282,5.0
22.0,4.160138248847926,4.009615384615385,4.2602892102335925,4.675869120654396,3.798234552332913,5.0
23.0,4.322952710495963,4.206043956043956,4.4493882091212456,4.868098159509202,3.962168978562421,5.0
24.0,4.497116493656286,4.368131868131868,4.6473859844271415,5.08282208588957,4.118537200504414,5.0
25.0,4.659746251441753,4.581043956043956,4.875417130144605,5.303680981595092,4.3701594533029615,6.0
