episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
1,342.0,11030.0,3122.0,12488.0,8,71,24.75,99
2,42.0,309.0,156.0,624.0,0,5,2.5,10
3,132.0,23658.0,9115.25,36461.0,2,73,34.25,137
4,65.0,15438.0,4013.75,16055.0,1,76,21.75,87
5,144.0,15384.0,6058.75,24235.0,2,69,30.0,120
6,36.0,15690.0,3977.25,15909.0,0,73,19.0,76
7,57.0,14466.0,3719.0,14876.0,1,71,19.75,79
8,8208.0,9594.0,9048.0,36192.0,72,73,72.5,290
9,77.0,17772.0,4649.0,18596.0,1,78,22.5,90
10,9774.0,11028.0,10501.5,42006.0,72,73,72.75,291
11,132.0,14130.0,3720.75,14883.0,2,74,21.75,87
12,36.0,12978.0,3449.75,13799.0,0,72,21.75,87
13,36.0,15108.0,3812.0,15248.0,0,71,18.25,73
14,63.0,7536.0,2089.5,8358.0,1,68,20.5,82
15,138.0,18738.0,8890.5,35562.0,2,82,41.75,167
16,153.0,318.0,230.75,923.0,3,7,5.25,21
17,135.0,15570.0,4560.75,18243.0,3,72,25.5,102
18,42.0,19572.0,4956.75,19827.0,0,78,20.25,81
19,10878.0,12072.0,11499.0,45996.0,73,74,73.25,293
20,87.0,14682.0,4991.75,19967.0,1,71,29.0,116
21,87.0,1425.0,764.25,3057.0,1,18,10.0,40
22,63.0,14586.0,3815.0,15260.0,1,73,21.25,85
23,57.0,165.0,108.5,434.0,1,3,2.0,8
24,213.0,12306.0,3727.5,14910.0,5,72,28.0,112
25,36.0,19614.0,8486.0,33944.0,0,78,38.75,155
26,36.0,17244.0,5202.75,20811.0,0,73,26.5,106
27,47.0,14448.0,3698.75,14795.0,1,73,19.75,79
28,36.0,14352.0,3683.0,14732.0,0,73,20.25,81
29,87.0,14928.0,4283.25,17133.0,1,72,23.5,94
30,132.0,22296.0,9367.0,37468.0,2,74,37.5,150
31,120.0,16980.0,4432.0,17728.0,2,77,23.25,93
32,57.0,11604.0,3011.0,12044.0,1,73,20.5,82
33,36.0,12852.0,3983.25,15933.0,0,73,26.5,106
34,90.0,13656.0,4163.25,16653.0,2,73,27.25,109
35,210.0,15834.0,5589.0,22356.0,4,71,32.0,128
36,42.0,425.0,186.5,746.0,0,9,3.5,14
37,135.0,906.0,456.75,1827.0,3,13,8.75,35
38,144.0,699.0,448.5,1794.0,2,13,9.5,38
39,71.0,16338.0,5506.75,22027.0,1,73,28.5,114
40,92.0,13896.0,4721.75,18887.0,2,73,28.25,113
41,81.0,797.0,302.0,1208.0,1,19,6.5,26
42,11676.0,12852.0,12355.5,49422.0,73,74,73.75,295
43,36.0,16476.0,4289.25,17157.0,0,73,21.0,84
44,86.0,14694.0,4487.0,17948.0,2,75,28.0,112
45,102.0,14850.0,3928.25,15713.0,2,70,21.25,85
46,120.0,13980.0,4487.0,17948.0,2,74,30.75,123
47,47.0,162.0,97.0,388.0,1,3,1.75,7
48,42.0,14538.0,3761.0,15044.0,0,72,20.0,80
49,80.0,14100.0,3739.0,14956.0,2,74,23.0,92
50,168.0,13890.0,3845.25,15381.0,2,73,24.0,96
51,75.0,14262.0,4348.5,17394.0,1,73,26.5,106
52,36.0,16422.0,4164.5,16658.0,0,72,19.0,76
53,80.0,15126.0,3902.0,15608.0,2,70,19.5,78
54,62.0,14538.0,5678.75,22715.0,2,74,34.0,136
55,69.0,16332.0,4157.75,16631.0,1,70,19.25,77
56,5646.0,6954.0,6421.5,25686.0,69,70,69.25,277
57,42.0,25362.0,6396.25,25585.0,0,82,21.25,85
58,282.0,14322.0,4839.0,19356.0,6,72,31.25,125
59,36.0,12186.0,3118.0,12472.0,0,72,19.25,77
60,9420.0,10764.0,10207.5,40830.0,72,74,72.75,291
61,74.0,528.0,294.5,1178.0,2,10,5.5,22
62,59.0,14706.0,3726.25,14905.0,1,73,19.0,76
63,53.0,15132.0,4982.75,19931.0,1,73,28.5,114
64,8934.0,10128.0,9643.5,38574.0,71,71,71.0,284
65,113.0,204.0,169.25,677.0,3,4,3.75,15
66,234.0,13860.0,4497.75,17991.0,4,71,27.5,110
67,8706.0,10020.0,9471.0,37884.0,72,73,72.5,290
68,189.0,16128.0,4538.25,18153.0,3,74,25.0,100
69,108.0,21618.0,10820.75,43283.0,2,85,42.75,171
70,311.0,15912.0,5108.75,20435.0,5,74,30.75,123
71,69.0,210.0,135.0,540.0,1,4,2.5,10
72,273.0,13536.0,3666.0,14664.0,5,70,22.5,90
73,74.0,18486.0,8513.75,34055.0,1,82,40.75,163
74,36.0,10026.0,2549.0,10196.0,0,72,18.5,74
75,36.0,14922.0,5151.0,20604.0,0,69,27.5,110
76,114.0,13206.0,3468.5,13874.0,2,70,20.5,82
77,36.0,20364.0,8719.25,34877.0,0,73,35.75,143
78,98.0,14292.0,3672.75,14691.0,2,76,21.25,85
79,36.0,18870.0,7154.25,28617.0,0,72,32.5,130
80,87.0,14118.0,3621.0,14484.0,1,73,19.75,79
81,36.0,108.0,80.25,321.0,0,2,1.25,5
82,147.0,13536.0,4431.75,17727.0,3,73,28.0,112
83,36.0,19722.0,8447.0,33788.0,0,76,37.25,149
84,98.0,13884.0,3800.0,15200.0,2,69,22.0,88
85,69.0,3528.0,1271.25,5085.0,1,36,17.75,71
86,243.0,9942.0,3249.0,12996.0,5,69,25.75,103
87,1158.0,14280.0,5232.0,20928.0,20,75,39.75,159
88,10554.0,11988.0,11332.5,45330.0,72,73,72.25,289
89,80.0,16278.0,4144.0,16576.0,2,72,19.5,78
90,71.0,4272.0,1781.0,7124.0,1,29,17.5,70
91,75.0,6156.0,1615.5,6462.0,1,68,18.0,72
92,135.0,1857.0,629.75,2519.0,3,24,9.0,36
93,126.0,14304.0,3873.75,15495.0,2,73,22.75,91
94,41.0,6996.0,1923.5,7694.0,1,70,20.0,80
95,57.0,13182.0,3374.0,13496.0,1,71,19.25,77
96,114.0,14106.0,4862.25,19449.0,2,74,28.0,112
97,36.0,15330.0,4592.25,18369.0,0,72,25.0,100
98,201.0,2088.0,723.0,2892.0,5,28,11.0,44
99,36.0,14700.0,3817.25,15269.0,0,73,20.5,82
100,87.0,13254.0,3506.25,14025.0,1,70,21.75,87
101,36.0,27354.0,12596.25,50385.0,0,87,43.0,172
102,36.0,15654.0,3984.5,15938.0,0,75,20.0,80
103,57.0,14442.0,3687.5,14750.0,1,73,19.75,79
104,36.0,15306.0,3876.75,15507.0,0,74,19.25,77
105,537.0,13116.0,3714.0,14856.0,11,75,27.25,109
106,657.0,16992.0,6561.0,26244.0,9,69,33.75,135
107,36.0,8076.0,3327.0,13308.0,0,73,28.75,115
108,87.0,120.0,99.75,399.0,1,2,1.75,7
109,108.0,12528.0,3596.0,14384.0,2,68,22.25,89
110,42.0,15324.0,4212.5,16850.0,0,74,22.75,91
111,122.0,13860.0,3588.25,14353.0,4,73,21.5,86
112,42.0,13962.0,3827.75,15311.0,0,73,22.5,90
113,411.0,15072.0,5814.0,23256.0,7,71,34.5,138
114,36.0,15402.0,3974.0,15896.0,0,70,20.0,80
115,99.0,15612.0,4520.25,18081.0,1,73,27.25,109
