episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
104,243.0,10671.0,3155.0,12620.0,5,41,19.0,76
105,96.0,20628.0,11625.75,46503.0,2,80,53.75,215
106,386.0,9624.0,6986.0,27944.0,10,71,55.0,220
107,152.0,4032.0,1164.5,4658.0,4,66,20.0,80
108,41.0,11736.0,7982.75,31931.0,1,73,54.25,217
109,96.0,11778.0,5427.75,21711.0,2,72,37.25,149
110,108.0,21042.0,5379.25,21517.0,2,72,20.25,81
111,36.0,18174.0,10734.0,42936.0,0,79,57.0,228
112,75.0,5826.0,1577.75,6311.0,1,56,16.75,67
113,1293.0,19572.0,12845.25,51381.0,23,77,63.0,252
114,69.0,225.0,145.25,581.0,1,5,2.75,11
115,90.0,348.0,176.0,704.0,2,8,4.0,16
116,36.0,1536.0,488.0,1952.0,0,14,5.5,22
117,62.0,1272.0,434.5,1738.0,2,14,6.0,24
118,489.0,11160.0,5474.25,21897.0,9,72,41.25,165
119,96.0,3138.0,980.0,3920.0,2,38,13.75,55
120,71.0,13044.0,6542.75,26171.0,1,76,41.25,165
121,74.0,663.0,289.0,1156.0,2,15,6.5,26
122,207.0,17622.0,11183.25,44733.0,5,81,58.25,233
123,153.0,21576.0,10463.25,41853.0,3,81,50.25,201
124,68.0,3474.0,1026.5,4106.0,2,34,12.5,50
125,36.0,921.0,265.25,1061.0,0,13,3.75,15
126,152.0,16644.0,9593.0,38372.0,4,80,56.25,225
127,80.0,594.0,225.0,900.0,2,10,4.5,18
128,69.0,1083.0,392.0,1568.0,1,11,5.0,20
129,101.0,7776.0,2196.0,8784.0,3,69,23.0,92
130,149.0,654.0,307.25,1229.0,3,10,5.25,21
131,365.0,5886.0,1785.5,7142.0,8,58,21.25,85
132,158.0,17262.0,8796.5,35186.0,4,76,55.0,220
133,81.0,1902.0,647.0,2588.0,1,18,7.75,31
134,77.0,768.0,296.5,1186.0,1,10,4.5,18
135,47.0,4317.0,1209.75,4839.0,1,21,7.75,31
