episode,min_days,max_days,average_days,total_days,min_berries,max_berries,average_berries,total_berries
1,71.0,4613.0,1236.75,4947.0,1,61,16.75,67
2,69.0,57060.0,34446.75,137787.0,1,178,105.25,421
3,122.0,1869.0,580.25,2321.0,2,27,8.75,35
4,63.0,1995.0,793.5,3174.0,1,21,12.0,48
5,36.0,4833.0,1275.5,5102.0,0,35,10.0,40
6,120.0,1137.0,448.25,1793.0,2,11,6.0,24
7,191.0,50052.0,23340.5,93362.0,5,187,95.0,380
8,92.0,2511.0,827.5,3310.0,2,21,10.0,40
9,81.0,2445.0,873.75,3495.0,1,33,13.25,53
10,69.0,11106.0,2863.25,11453.0,1,44,12.75,51
11,236.0,49482.0,22790.5,91162.0,6,180,92.5,370
12,173.0,69708.0,39188.0,156752.0,5,184,117.5,470
13,324.0,75336.0,43938.0,175752.0,6,188,138.0,552
14,95.0,42384.0,20052.25,80209.0,3,176,93.5,374
15,42.0,22080.0,6678.75,26715.0,0,86,33.75,135
16,36.0,26157.0,6625.25,26501.0,0,97,25.75,103
17,74.0,17856.0,4534.25,18137.0,1,66,17.75,71
18,36.0,1182.0,456.25,1825.0,0,14,7.0,28
19,75.0,21072.0,5399.75,21599.0,1,88,25.25,101
20,305.0,53136.0,24929.75,99719.0,7,180,93.0,372
21,69.0,62982.0,37713.75,150855.0,1,175,125.5,502
22,47.0,333.0,182.75,731.0,1,9,3.75,15
23,1136.0,34890.0,23795.0,95180.0,26,175,136.75,547
24,81.0,1440.0,430.75,1723.0,1,18,5.75,23
25,149.0,25488.0,6652.0,26608.0,5,76,24.0,96
26,69.0,63348.0,34817.25,139269.0,1,178,132.25,529
27,228.0,6006.0,2157.75,8631.0,4,48,21.75,87
28,62.0,63006.0,34627.25,138509.0,2,181,122.75,491
29,36.0,17952.0,6650.75,26603.0,0,112,51.0,204
30,57.0,8544.0,2252.0,9008.0,1,42,13.25,53
31,351.0,9990.0,2866.5,11466.0,6,48,18.25,73
32,84.0,68868.0,31662.0,126648.0,2,186,92.5,370
33,71.0,3708.0,1051.25,4205.0,1,52,15.75,63
34,738.0,22275.0,15940.25,63761.0,16,89,65.25,261
35,132.0,57300.0,14619.75,58479.0,2,185,51.0,204
36,42.0,1524.0,491.75,1967.0,0,20,7.0,28
