,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms
0,0,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,1,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,2,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,3,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,0,1,3,1,0,0,0.6000000000000001,12.000000000000002,0,1,2
0,1,1,3,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,2,1,3,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,3,1,3,1,0,0,0.6000000000000001,12.000000000000002,0,1,1
0,0,1,4,0,0,1,0.5000000000000001,5.000000000000001,4,0.5,3
0,1,1,4,1,0,0,0.5000000000000001,11.0,0,1,2
0,2,1,4,1,1,0,1.1,17.0,0,1,2
0,3,1,4,0,1,1,1.1,11.0,4,0.5,2
0,0,1,5,0,0,1,0.40000000000000013,4.000000000000001,0,0,4
0,1,1,5,1,0,0,0.40000000000000013,10.0,3,-0.2,3
0,2,1,5,0,2,0,1.6,16.0,1,1,3
0,3,1,5,1,1,1,1.0,16.0,0,1,3
0,0,1,6,1,0,1,0.30000000000000016,9.0,0,1,5
0,1,1,6,1,0,0,0.30000000000000016,9.0,3,-0.2,3
0,2,1,6,0,2,0,1.5,15.0,0,0,4
0,3,1,6,0,2,1,1.5,15.0,1,1,4
0,0,1,7,0,1,1,0.8000000000000002,8.000000000000002,1,1,6
0,1,1,7,0,1,0,0.8000000000000002,8.000000000000002,1,1,4
0,2,1,7,0,2,0,1.4,13.999999999999998,0,0,5
0,3,1,7,0,2,1,1.4,13.999999999999998,0,0,5
0,0,1,8,0,1,1,0.7000000000000002,7.000000000000002,0,0,7
0,1,1,8,0,1,0,0.7000000000000002,7.000000000000002,0,0,5
0,2,1,8,1,2,0,1.2999999999999998,18.999999999999996,0,1,5
0,3,1,8,1,2,1,1.2999999999999998,18.999999999999996,0,1,5
0,0,1,9,1,1,1,0.6000000000000002,12.000000000000002,0,1,7
0,1,1,9,1,1,0,0.6000000000000002,12.000000000000002,0,1,6
0,2,1,9,0,3,0,1.7999999999999998,17.999999999999996,1,1,6
0,3,1,9,0,3,1,1.7999999999999998,17.999999999999996,1,1,6
0,0,1,10,0,2,1,1.1,11.0,1,1,8
0,1,1,10,0,1,1,0.5000000000000002,5.000000000000002,3,0.5,7
